shuhei:~.$ python nelder.py -model CNN -num 2 -round 0
Will collect a position from the storage.


shuhei:~.$ python env.py -model CNN -num 2 -round 0 -cuda 0
Collecting Environment Variables and Putting in Shell Scripts.

shuhei:~.$ ./run.sh
shuhei:~.$ CUDA_VISIBLE_DEVICES=0 python train.py -model CNN -num 2 -round 0 -batch_size 69 -lr 0.012067067337561436 -momentum 0.852952770794702 -weight_decay 0.00018816765824974184 -ch1 72 -ch2 73 -ch3 27 -ch4 34 -drop_rate 0.12661106051641252
Start Training


Files already downloaded and verified
  lr                      epoch                   TrainAcc                TrainLoss               TestAcc                 TestLoss                Time                  
  0.01207                 1                       0.11850                 3.79294                 0.22140                 3.19527                 2019-04-20 12:11:57.661459  
  0.01207                 2                       0.21758                 3.17908                 0.28350                 2.85242                 2019-04-20 12:12:02.539420  
  0.01207                 3                       0.26596                 2.91534                 0.30480                 2.72541                 2019-04-20 12:12:07.443720  
  0.01207                 4                       0.29946                 2.75943                 0.35400                 2.47278                 2019-04-20 12:12:12.239886  
  0.01207                 5                       0.32110                 2.63929                 0.37650                 2.39981                 2019-04-20 12:12:17.139699  
  0.01207                 6                       0.33880                 2.55591                 0.38200                 2.38762                 2019-04-20 12:12:21.972654  
  0.01207                 7                       0.35180                 2.48918                 0.40000                 2.30151                 2019-04-20 12:12:26.846369  
  0.01207                 8                       0.36460                 2.42942                 0.39850                 2.28994                 2019-04-20 12:12:31.754493  
  0.01207                 9                       0.37156                 2.38286                 0.39290                 2.32864                 2019-04-20 12:12:36.642101  
  0.01207                 10                      0.38666                 2.32763                 0.42850                 2.15559                 2019-04-20 12:12:41.503615  
  0.01207                 11                      0.39256                 2.29544                 0.43260                 2.17540                 2019-04-20 12:12:46.394411  
  0.01207                 12                      0.39780                 2.26288                 0.44480                 2.10060                 2019-04-20 12:12:51.267185  
  0.01207                 13                      0.40620                 2.23761                 0.45210                 2.10244                 2019-04-20 12:12:56.104393  
  0.01207                 14                      0.41266                 2.20801                 0.46150                 2.03215                 2019-04-20 12:13:00.883675  
  0.01207                 15                      0.41474                 2.18830                 0.44070                 2.14206                 2019-04-20 12:13:05.732765  
  0.01207                 16                      0.42204                 2.16286                 0.46930                 2.00965                 2019-04-20 12:13:10.516715  
  0.01207                 17                      0.42732                 2.13650                 0.46550                 2.01977                 2019-04-20 12:13:15.385769  
  0.01207                 18                      0.43150                 2.11744                 0.46920                 2.00715                 2019-04-20 12:13:20.273809  
  0.01207                 19                      0.43528                 2.10221                 0.46060                 2.07328                 2019-04-20 12:13:25.142316  
  0.01207                 20                      0.43582                 2.08692                 0.48630                 1.93688                 2019-04-20 12:13:30.004244  
  0.01207                 21                      0.44216                 2.07200                 0.47940                 1.94922                 2019-04-20 12:13:34.888833  
  0.01207                 22                      0.44470                 2.05523                 0.48690                 1.92232                 2019-04-20 12:13:39.734344  
  0.01207                 23                      0.44778                 2.04062                 0.48290                 1.95369                 2019-04-20 12:13:44.494353  
  0.01207                 24                      0.45112                 2.02051                 0.48240                 1.95761                 2019-04-20 12:13:49.330443  
  0.01207                 25                      0.45506                 2.01165                 0.47720                 2.00372                 2019-04-20 12:13:54.261066  
  0.01207                 26                      0.45714                 2.00176                 0.49010                 1.93576                 2019-04-20 12:13:59.073016  
  0.01207                 27                      0.45968                 1.98821                 0.49620                 1.88688                 2019-04-20 12:14:03.957562  
  0.01207                 28                      0.46290                 1.97631                 0.49930                 1.89629                 2019-04-20 12:14:08.885717  
  0.01207                 29                      0.46704                 1.96308                 0.50550                 1.86691                 2019-04-20 12:14:13.768640  
  0.01207                 30                      0.46690                 1.95325                 0.49780                 1.88154                 2019-04-20 12:14:18.642398  
  0.01207                 31                      0.46874                 1.94988                 0.49820                 1.87129                 2019-04-20 12:14:23.507932  
  0.01207                 32                      0.47156                 1.94028                 0.49840                 1.89144                 2019-04-20 12:14:28.312040  
  0.01207                 33                      0.47266                 1.93058                 0.47720                 2.01453                 2019-04-20 12:14:33.114027  
  0.01207                 34                      0.47110                 1.93215                 0.49680                 1.87829                 2019-04-20 12:14:37.912828  
  0.01207                 35                      0.47662                 1.91594                 0.50970                 1.83734                 2019-04-20 12:14:42.760530  
  0.01207                 36                      0.47884                 1.90585                 0.50700                 1.84233                 2019-04-20 12:14:47.575204  
  0.01207                 37                      0.48046                 1.90015                 0.49960                 1.86762                 2019-04-20 12:14:52.350285  
  0.01207                 38                      0.48148                 1.88643                 0.50060                 1.89228                 2019-04-20 12:14:57.220158  
  0.01207                 39                      0.48124                 1.89508                 0.51230                 1.84254                 2019-04-20 12:15:02.064363  
  0.01207                 40                      0.48268                 1.88198                 0.50220                 1.87478                 2019-04-20 12:15:06.934337  
  0.01207                 41                      0.48682                 1.87062                 0.50500                 1.84572                 2019-04-20 12:15:11.742968  
  0.01207                 42                      0.48792                 1.86797                 0.50230                 1.85803                 2019-04-20 12:15:16.561425  
  0.01207                 43                      0.48836                 1.86033                 0.50440                 1.89147                 2019-04-20 12:15:21.464926  
  0.01207                 44                      0.48928                 1.85825                 0.51390                 1.81347                 2019-04-20 12:15:26.358504  
  0.01207                 45                      0.49174                 1.84837                 0.51230                 1.83975                 2019-04-20 12:15:31.225093  
  0.01207                 46                      0.49346                 1.84119                 0.51180                 1.83830                 2019-04-20 12:15:36.044410  
  0.01207                 47                      0.49302                 1.84104                 0.51180                 1.83763                 2019-04-20 12:15:40.919934  
  0.01207                 48                      0.49556                 1.83103                 0.51160                 1.83096                 2019-04-20 12:15:45.856578  
  0.01207                 49                      0.49574                 1.82346                 0.51720                 1.79419                 2019-04-20 12:15:50.706801  
  0.01207                 50                      0.49670                 1.82378                 0.51650                 1.85175                 2019-04-20 12:15:55.598428  
  0.01207                 51                      0.49898                 1.82101                 0.51620                 1.81457                 2019-04-20 12:16:00.475272  
  0.01207                 52                      0.49900                 1.81469                 0.50910                 1.84383                 2019-04-20 12:16:05.296436  
  0.01207                 53                      0.49980                 1.81476                 0.51090                 1.87134                 2019-04-20 12:16:10.184171  
  0.01207                 54                      0.49996                 1.80571                 0.50900                 1.83634                 2019-04-20 12:16:14.833559  
  0.01207                 55                      0.50290                 1.80046                 0.51830                 1.79990                 2019-04-20 12:16:19.590436  
  0.01207                 56                      0.50262                 1.80033                 0.52350                 1.79917                 2019-04-20 12:16:24.329244  
  0.01207                 57                      0.50500                 1.79447                 0.51920                 1.81466                 2019-04-20 12:16:29.185444  
  0.01207                 58                      0.50176                 1.79222                 0.52150                 1.78629                 2019-04-20 12:16:34.058575  
  0.01207                 59                      0.50512                 1.78491                 0.52290                 1.79483                 2019-04-20 12:16:38.837682  
  0.01207                 60                      0.50654                 1.78291                 0.51740                 1.79856                 2019-04-20 12:16:43.674819  
  0.01207                 61                      0.50588                 1.77834                 0.51200                 1.85606                 2019-04-20 12:16:48.468408  
  0.01207                 62                      0.50892                 1.78001                 0.52320                 1.75726                 2019-04-20 12:16:53.348001  
  0.01207                 63                      0.50912                 1.76993                 0.52360                 1.77540                 2019-04-20 12:16:58.215065  
  0.01207                 64                      0.50994                 1.77091                 0.51230                 1.85608                 2019-04-20 12:17:03.010466  
  0.01207                 65                      0.51028                 1.76647                 0.51540                 1.78906                 2019-04-20 12:17:07.916030  
  0.01207                 66                      0.51112                 1.76267                 0.51810                 1.82582                 2019-04-20 12:17:12.709884  
  0.01207                 67                      0.51136                 1.76054                 0.51780                 1.81680                 2019-04-20 12:17:17.498560  
  0.01207                 68                      0.51202                 1.76286                 0.52020                 1.76937                 2019-04-20 12:17:22.322952  
  0.01207                 69                      0.51364                 1.74983                 0.52070                 1.77362                 2019-04-20 12:17:27.193738  
  0.01207                 70                      0.51316                 1.75136                 0.51960                 1.81308                 2019-04-20 12:17:32.079562  
