shuhei:~.$ python nelder.py -model CNN -num 2 -round 0
Will get the positions by Nelder-Mead Method.
Saving the position data as shown below...
  batch_size       lr               momentum         weight_decay     ch1              ch2              ch3              ch4              drop_rate      
  6.131            -1.898           0.857            -3.696           6.226            6.208            4.818            5.154          


shuhei:~.$ python env.py -model CNN -num 2 -round 0 -cuda 0
Collecting Environment Variables and Putting in Shell Scripts.

shuhei:~.$ ./run.sh
shuhei:~.$ CUDA_VISIBLE_DEVICES=0 python train.py -model CNN -num 2 -round 0 -batch_size 70 -lr 0.012640219436749391 -momentum 0.8571797702763072 -weight_decay 0.00020157230643739538 -ch1 74 -ch2 73 -ch3 28 -ch4 35 -drop_rate 0.1255011973727212
Start Training


Files already downloaded and verified
  lr                      epoch                   TrainAcc                TrainLoss               TestAcc                 TestLoss                Time                  
  0.01264                 1                       0.12308                 3.76385                 0.20130                 3.30045                 2019-04-20 08:42:30.830156  
  0.01264                 2                       0.22064                 3.15495                 0.28100                 2.85542                 2019-04-20 08:42:35.727260  
  0.01264                 3                       0.26836                 2.89906                 0.32200                 2.61135                 2019-04-20 08:42:40.577332  
  0.01264                 4                       0.30236                 2.74537                 0.34690                 2.53548                 2019-04-20 08:42:45.477828  
  0.01264                 5                       0.32156                 2.62931                 0.36580                 2.43206                 2019-04-20 08:42:50.318121  
  0.01264                 6                       0.34170                 2.53366                 0.38150                 2.35576                 2019-04-20 08:42:55.090625  
  0.01264                 7                       0.35720                 2.46443                 0.39100                 2.34303                 2019-04-20 08:42:59.892079  
  0.01264                 8                       0.37014                 2.40569                 0.40380                 2.29529                 2019-04-20 08:43:04.784194  
  0.01264                 9                       0.37998                 2.35199                 0.41910                 2.20107                 2019-04-20 08:43:09.562170  
  0.01264                 10                      0.39048                 2.30478                 0.42460                 2.19820                 2019-04-20 08:43:14.385806  
  0.01264                 11                      0.39816                 2.26932                 0.43890                 2.13374                 2019-04-20 08:43:19.230175  
  0.01264                 12                      0.40704                 2.22983                 0.44490                 2.08350                 2019-04-20 08:43:24.109560  
  0.01264                 13                      0.41262                 2.19809                 0.44440                 2.09313                 2019-04-20 08:43:28.966944  
  0.01264                 14                      0.41956                 2.17396                 0.45570                 2.04208                 2019-04-20 08:43:33.817852  
  0.01264                 15                      0.42572                 2.14612                 0.46510                 2.04051                 2019-04-20 08:43:38.651174  
  0.01264                 16                      0.43042                 2.11878                 0.46870                 2.00576                 2019-04-20 08:43:43.482273  
  0.01264                 17                      0.43402                 2.09474                 0.46470                 2.00496                 2019-04-20 08:43:48.342938  
  0.01264                 18                      0.44120                 2.07617                 0.47230                 1.98398                 2019-04-20 08:43:53.059760  
  0.01264                 19                      0.44430                 2.06311                 0.46720                 1.99519                 2019-04-20 08:43:57.950181  
  0.01264                 20                      0.44570                 2.04470                 0.47620                 1.96697                 2019-04-20 08:44:02.746874  
  0.01264                 21                      0.45184                 2.03170                 0.47490                 1.96796                 2019-04-20 08:44:07.587990  
  0.01264                 22                      0.45400                 2.01543                 0.48720                 1.92197                 2019-04-20 08:44:12.488564  
  0.01264                 23                      0.45650                 2.00220                 0.49090                 1.88665                 2019-04-20 08:44:17.340339  
  0.01264                 24                      0.45670                 1.99355                 0.47680                 1.98405                 2019-04-20 08:44:22.144069  
  0.01264                 25                      0.46332                 1.97508                 0.48670                 1.92467                 2019-04-20 08:44:26.953926  
  0.01264                 26                      0.46348                 1.97170                 0.48160                 1.93857                 2019-04-20 08:44:31.777070  
  0.01264                 27                      0.46448                 1.95793                 0.49190                 1.90085                 2019-04-20 08:44:36.625181  
  0.01264                 28                      0.46678                 1.94557                 0.49650                 1.87650                 2019-04-20 08:44:41.464379  
