shuhei:~.$ python nelder.py -model CNN -num 2 -round 0
Will get the positions by Nelder-Mead Method.
Saving the position data as shown below...
  batch_size       lr               momentum         weight_decay     ch1              ch2              ch3              ch4              drop_rate      
  5.902            -1.657           0.884            -2.558           5.400            5.542            5.608            5.884          


shuhei:~.$ python env.py -model CNN -num 2 -round 0 -cuda 0
Collecting Environment Variables and Putting in Shell Scripts.

shuhei:~.$ ./run.sh
shuhei:~.$ CUDA_VISIBLE_DEVICES=0 python train.py -model CNN -num 2 -round 0 -batch_size 59 -lr 0.02200676287808887 -momentum 0.8844605246006996 -weight_decay 0.0027670208139796795 -ch1 42 -ch2 46 -ch3 48 -ch4 59 -drop_rate 0.4065082341623383
Start Training


Files already downloaded and verified
  lr                      epoch                   TrainAcc                TrainLoss               TestAcc                 TestLoss                Time                  
  0.02201                 1                       0.11878                 3.79080                 0.20700                 3.23675                 2019-04-19 17:12:14.177407  
  0.02201                 2                       0.18720                 3.32340                 0.23780                 3.06896                 2019-04-19 17:12:19.577106  
  0.02201                 3                       0.21820                 3.15452                 0.26770                 2.96067                 2019-04-19 17:12:25.147162  
  0.02201                 4                       0.24064                 3.04759                 0.29400                 2.76083                 2019-04-19 17:12:30.181720  
  0.02201                 5                       0.25480                 2.96916                 0.29140                 2.78127                 2019-04-19 17:12:35.331702  
  0.02201                 6                       0.26374                 2.92038                 0.28100                 2.91376                 2019-04-19 17:12:40.413003  
  0.02201                 7                       0.27398                 2.87764                 0.32190                 2.64957                 2019-04-19 17:12:45.537073  
  0.02201                 8                       0.27680                 2.84143                 0.30980                 2.71075                 2019-04-19 17:12:50.969507  
  0.02201                 9                       0.28192                 2.82630                 0.32500                 2.60351                 2019-04-19 17:12:56.097730  
  0.02201                 10                      0.29068                 2.80304                 0.31640                 2.69641                 2019-04-19 17:13:01.257827  
  0.02201                 11                      0.28878                 2.78943                 0.31370                 2.69104                 2019-04-19 17:13:06.667229  
  0.02201                 12                      0.29628                 2.77945                 0.35010                 2.51528                 2019-04-19 17:13:11.894884  
  0.02201                 13                      0.29300                 2.77444                 0.32010                 2.75371                 2019-04-19 17:13:17.016245  
  0.02201                 14                      0.29876                 2.75587                 0.31530                 2.71337                 2019-04-19 17:13:22.077577  
  0.02201                 15                      0.29772                 2.75971                 0.34320                 2.58358                 2019-04-19 17:13:27.126665  
  0.02201                 16                      0.29878                 2.74748                 0.32900                 2.68402                 2019-04-19 17:13:32.103942  
  0.02201                 17                      0.30250                 2.73376                 0.33250                 2.65717                 2019-04-19 17:13:37.102088  
  0.02201                 18                      0.30312                 2.72763                 0.36110                 2.50958                 2019-04-19 17:13:42.146773  
  0.02201                 19                      0.30460                 2.73322                 0.33480                 2.54307                 2019-04-19 17:13:47.157164  
  0.02201                 20                      0.30832                 2.72805                 0.34450                 2.52284                 2019-04-19 17:13:52.200625  
  0.02201                 21                      0.30650                 2.71714                 0.30930                 2.71335                 2019-04-19 17:13:57.216515  
  0.02201                 22                      0.30674                 2.71676                 0.34750                 2.49941                 2019-04-19 17:14:02.445170  
  0.02201                 23                      0.30602                 2.71217                 0.33250                 2.66509                 2019-04-19 17:14:07.824644  
  0.02201                 24                      0.30914                 2.70947                 0.32970                 2.68158                 2019-04-19 17:14:12.888125  
  0.02201                 25                      0.30494                 2.72169                 0.35270                 2.48315                 2019-04-19 17:14:17.946897  
  0.02201                 26                      0.31090                 2.70695                 0.33380                 2.56794                 2019-04-19 17:14:22.983327  
