batch_size,lr,momentum,weight_decay,ch1,ch2,ch3,ch4,drop_rate,loss
41,0.020682803248226744,0.9360633980173254,0.0001387873896716299,20,32,55,18,0.2733750714199912,2.261916303348541
62,0.008390923585669556,0.9832945583439723,0.023844726926105057,113,93,45,33,0.7304206642227234,4.18218589091301
138,0.3965654734867357,0.8951885201029329,0.00033644169793804626,81,61,29,50,0.12998151182456924,3.0188328667640687
73,0.040181562869838594,0.9743406968576238,0.0044414636666902175,24,22,56,28,0.06774387457731693,3.5633531736850736
126,0.181054495970252,0.8192076568696419,0.0023624725107282297,53,39,102,20,0.4497975115886364,3.067131503534317
94,0.019685828910308786,0.949288668119785,3.0343366394136365e-05,37,24,19,70,0.30534389806673257,1.9617114854335784
217,0.11238789714085046,0.8784251066467774,5.09395684105135e-06,103,17,83,59,0.579591934724245,1.8687322849392891
35,0.07489306283689343,0.8571137984050483,7.411212118994843e-05,64,45,19,94,0.894744973332058,3.2045258675813675
198,0.006711907491883608,0.9151755910481489,0.010276685108448222,19,79,114,111,0.9894077675836052,4.136846425914764
58,0.23148573988359297,0.8383680596023213,0.0006700260311732392,32,127,31,38,0.6382211968438437,3.768686438465118
133,0.47117053100368017,0.8085213295826068,4.384948199504359e-06,14,17,47,62,0.2314032779908317,100000000.0
75,0.022969516553765695,0.9396012511536309,0.0027767410563342837,67,61,45,38,0.6056663176647505,2.8205588871240614
33,0.7742417149819404,0.8820682213463147,7.606956908502088e-06,115,19,15,14,-0.11285970312979549,100000000.0
127,0.02199650153229434,0.9068987486226904,0.001695089079779265,29,55,68,66,0.713840899905255,2.1734065205574034
136,0.013306053264983866,0.974104794796669,0.00014340037808354555,66,10,66,48,0.2551312460680576,100000000.0
71,0.11334581675771628,0.8723022434009082,0.0004557286489403021,38,67,37,40,0.5424487091498972,2.674816554093361
108,0.09652300290322921,0.8154569456620964,1.3043019060734396e-05,98,75,33,71,0.9310985315729352,2.851453736114502
289,0.05479015810267662,0.9234267657273492,0.0005313073972852125,40,41,112,19,0.112176001316167,100000000.0
59,0.06926388259866915,0.8736920402356235,0.00012127000578715512,57,44,29,63,0.6991027303280852,2.39817288544178
67,0.018306315673527536,0.9734405480107514,8.615641000733524e-06,50,49,15,120,0.6125246227794663,100000000.0
107,0.10209564614991322,0.8577658796549192,0.0005805598147163072,52,41,64,31,0.4904792893863439,2.421972666525841
58,0.006182129509032834,0.8891435424556796,6.829631056633255e-05,29,28,66,43,1.0124512397794831,100000000.0
111,0.1401266372090363,0.8936772756911195,0.00022583001994741755,63,50,35,48,0.3505989438132977,2.2481275216579437
75,0.027592922562978094,0.9862574124585215,0.003319936048177679,22,21,59,28,0.08233431164008675,3.552977674007416
98,0.07057851949332115,0.8581570623612027,5.2097397180037794e-05,67,54,38,56,0.7189074765897231,2.127892562818527
115,0.14880399917927914,0.8440143983464474,6.44550653229346e-06,32,25,41,57,0.4329312275315984,2.0329539889097212
135,0.03203536318412722,0.9050272183092898,1.5243945070962326e-05,55,18,51,58,0.47181161790905224,1.8559277882575989
187,0.01703106199244485,0.9213897057634806,2.788000821032195e-06,66,9,61,71,0.43649307228862977,100000000.0
94,0.027489462229361022,0.9300661017562497,5.3294089460545974e-06,40,25,28,86,0.5196326662332071,1.918462203168869
190,0.03299740872412302,0.9266675104023511,1.274091274893942e-05,34,20,62,45,0.27112698882593755,1.773196377158165
341,0.022775417043777696,0.9531552454857148,4.1297533419357655e-06,26,14,91,39,0.057139118074863715,100000000.0
385,0.12259128207457284,0.8622081775950996,6.548265404021659e-06,110,25,33,196,0.6963550738242419,100000000.0
71,0.03227170769417415,0.917599592911769,6.46835837954617e-05,30,30,48,32,0.37912007202105386,2.0385919672727586
128,0.013056821106755654,0.9099103704147833,3.0481104304120705e-06,29,14,57,67,0.6254692299215477,100000000.0
115,0.0774194155298915,0.8977355493720355,7.697397756425486e-05,52,36,39,52,0.4193165153403602,1.9875392491221429
110,0.11001405106404384,0.894652630983067,2.0427209572513272e-07,73,12,25,46,0.19677741059294718,100000000.0
122,0.0328947999232677,0.9038372192127846,0.0001776015107211527,36,37,53,60,0.584575027577178,1.923733089709282
149,0.028936932692542074,0.953545463211573,8.728666619936721e-06,27,11,49,55,0.161859178572358,100000000.0
108,0.05647646840956027,0.8820041625737953,3.333105009126842e-05,53,36,40,55,0.5796454020853818,1.9422924416542053
227,0.07166600917325165,0.8861928370303461,6.067112719228044e-06,70,21,38,109,0.5462077675997667,1.8462005652546882
163,0.01321323461632166,0.9691510179698668,6.0073121372142695e-05,78,24,43,71,0.5175691765488153,1.8087595182657241
176,0.017145201178031966,0.9312999710771305,4.7606696781872006e-06,52,15,47,83,0.5530178134530435,100000000.0
127,0.053109603925185066,0.9061266547983092,3.8386185606145065e-05,52,29,40,58,0.452741839868531,1.8735526005148888
230,0.08406608964497989,0.8701552938134971,1.2724466824134081e-05,79,24,113,59,0.6997455289048483,1.8600509040355682
237,0.03201080876530824,0.9348067174127541,9.352310903941265e-06,61,15,68,77,0.4521329419571918,100000000.0
131,0.04900324165876481,0.895204801283535,2.425864176512059e-05,54,28,45,59,0.5477672870533343,1.8971198244929313
213,0.06004862314871829,0.9110553456783763,1.1276968019728385e-06,98,13,49,70,0.439023818571208,100000000.0
140,0.03823588972513668,0.9056417508291825,5.013408337723852e-05,46,28,52,62,0.5481872253256855,1.8684097673892974
302,0.07732316194264764,0.8793988295955626,6.184193588731696e-05,91,20,107,45,0.5103116374912853,100000000.0
125,0.03560017101427485,0.9173992837160779,9.836261226650141e-06,49,23,39,73,0.5173024090477267,1.8696703970432282
214,0.04040291083487797,0.919192237275509,1.1116714073657744e-05,66,17,64,69,0.47540704378102294,1.7746380106210708
248,0.03508109988474033,0.9111738465334461,5.334187606596923e-06,72,15,81,73,0.5754692029463802,100000000.0
150,0.04787933361308287,0.9073884527320935,2.3436798743755955e-05,56,24,47,61,0.4834236806379933,1.8489304238557815
263,0.0558976169892456,0.8976765885081249,2.5246787950376227e-05,79,19,86,56,0.5033800274539104,100000000.0
150,0.039850831411913624,0.9124686099140897,1.2450135371963459e-05,55,22,47,68,0.5138218136492727,1.8404853391647338
139,0.014062519267977384,0.9442159885257171,5.946063602450597e-05,32,27,35,71,0.4264749193162872,1.8076462770819663
216,0.03309606408235764,0.9255713971647639,6.275056130948713e-06,67,16,52,70,0.4308324496016468,1.7698153754234314
268,0.030791363661268896,0.9355362203325546,2.220035314887157e-06,82,12,52,75,0.3721550617396274,100000000.0
129,0.012236613946392427,0.9733725438140644,2.1129245723852518e-05,38,17,20,77,0.21951568395510612,1.9438128063440323
199,0.051925531381619906,0.8959596063136389,1.444443948510458e-05,65,22,73,63,0.5796880676674128,1.805960721576214
241,0.03574899628850522,0.936485594430349,1.7427173294296398e-05,56,24,48,79,0.4714221393416489,1.7704631113886833
241,0.022415524672790392,0.9405903914960467,1.0612859212415025e-05,55,18,53,80,0.45714306743574246,1.7598929679393769
305,0.015337314193775164,0.9571913608780234,7.141664748027551e-06,55,16,56,92,0.44400276083461704,100000000.0
161,0.011566818954585664,0.9738743526346166,4.6421094097867995e-05,42,20,70,41,0.3745668248819637,1.806498365342617
248,0.01580180811276699,0.9612443003554347,3.030627359821591e-05,50,19,62,60,0.3760072257730559,1.6927252897262572
319,0.009950421600935745,0.9856321455761072,4.7283734777953e-05,48,18,72,56,0.3070999318349475,100000000.0
250,0.04959080582338597,0.9028048439408947,5.3950267442840276e-06,32,16,74,55,0.3408016515900111,1.724092897772789
334,0.061656356310801776,0.9185373968106394,3.1976892822357866e-06,78,13,107,52,0.41285740488336675,100000000.0
173,0.020348940964260452,0.9377963405969476,2.8633947746479558e-05,40,22,46,65,0.4230705407080571,1.8339354756832122
248,0.02799329201395636,0.9320245721481647,1.2786835284071039e-05,39,17,67,57,0.3584044386815335,1.714353538608551
244,0.01882035652229862,0.9509173459257407,1.7934219106244797e-05,52,18,57,69,0.4165751466043992,1.7314156042098998
231,0.022868704683852457,0.9434078487600993,1.3790343286107633e-05,57,17,56,64,0.40341983768735135,1.7394240855932235
244,0.023767599364996426,0.9488649473928918,2.298157265942582e-05,52,21,54,68,0.4237146825573524,1.739398691034317
217,0.022834594826209097,0.9439559053788928,1.9650180346764147e-05,41,19,62,51,0.3235671072994967,1.7430828467488289
230,0.025267351349319858,0.9402182688154719,1.8355004174050418e-05,57,17,62,64,0.4257071347770394,1.7646385303735732
222,0.028644672856323893,0.9286019533345369,2.09226464628271e-05,57,20,67,61,0.47784764672023433,1.7290904500484467
199,0.013519491617493572,0.9675593264950257,3.750800419188571e-05,45,19,65,49,0.3752870253275098,1.7476936718940734
