shuhei:~.$ python nelder.py -model CNN -num 0 -round 0
Will get the positions by Nelder-Mead Method.
Saving the position data as shown below...
  batch_size       lr               momentum         weight_decay     ch1              ch2              ch3              ch4              drop_rate      
  6.083            -1.644           0.870            -3.262           6.507            5.784            4.930            5.797          


shuhei:~.$ python env.py -model CNN -num 0 -round 0 -cuda 1
Collecting Environment Variables and Putting in Shell Scripts.

shuhei:~.$ ./run.sh
shuhei:~.$ CUDA_VISIBLE_DEVICES=1 python train.py -model CNN -num 0 -round 0 -batch_size 67 -lr 0.02268169559664572 -momentum 0.8699696169026929 -weight_decay 0.0005464299547714314 -ch1 90 -ch2 55 -ch3 30 -ch4 55 -drop_rate 0.14497377807778922
Start Training


Files already downloaded and verified
  lr                      epoch                   TrainAcc                TrainLoss               TestAcc                 TestLoss                Time                  
  0.02268                 1                       0.14388                 3.62804                 0.22500                 3.13163                 2019-04-18 18:39:09.768606  
  0.02268                 2                       0.23862                 3.06859                 0.26720                 2.94490                 2019-04-18 18:39:14.699919  
  0.02268                 3                       0.27982                 2.84768                 0.31770                 2.71193                 2019-04-18 18:39:19.671492  
  0.02268                 4                       0.30932                 2.70685                 0.33150                 2.68674                 2019-04-18 18:39:24.629737  
  0.02268                 5                       0.32762                 2.60902                 0.37100                 2.40512                 2019-04-18 18:39:29.596691  
  0.02268                 6                       0.34692                 2.53010                 0.37630                 2.37713                 2019-04-18 18:39:34.594017  
  0.02268                 7                       0.35568                 2.47072                 0.39540                 2.33082                 2019-04-18 18:39:39.551549  
  0.02268                 8                       0.36818                 2.41574                 0.40230                 2.28970                 2019-04-18 18:39:44.522499  
  0.02268                 9                       0.37486                 2.38088                 0.41980                 2.17821                 2019-04-18 18:39:49.443566  
  0.02268                 10                      0.38298                 2.34610                 0.42690                 2.17116                 2019-04-18 18:39:54.407768  
  0.02268                 11                      0.39032                 2.31399                 0.43120                 2.16965                 2019-04-18 18:39:59.411156  
  0.02268                 12                      0.39674                 2.28151                 0.42480                 2.19633                 2019-04-18 18:40:04.439489  
  0.02268                 13                      0.40050                 2.26374                 0.43440                 2.15897                 2019-04-18 18:40:09.478247  
  0.02268                 14                      0.40676                 2.24180                 0.42760                 2.24397                 2019-04-18 18:40:14.478535  
  0.02268                 15                      0.41302                 2.22198                 0.43330                 2.18941                 2019-04-18 18:40:19.455856  
  0.02268                 16                      0.41004                 2.20730                 0.43620                 2.12826                 2019-04-18 18:40:24.360640  
  0.02268                 17                      0.41732                 2.19247                 0.44130                 2.11429                 2019-04-18 18:40:29.388556  
  0.02268                 18                      0.42038                 2.18052                 0.43370                 2.14247                 2019-04-18 18:40:34.355322  
  0.02268                 19                      0.42402                 2.17031                 0.43240                 2.19488                 2019-04-18 18:40:39.393840  
  0.02268                 20                      0.42568                 2.14616                 0.44030                 2.17253                 2019-04-18 18:40:44.374785  
  0.02268                 21                      0.42788                 2.13909                 0.44740                 2.12660                 2019-04-18 18:40:49.274931  
  0.02268                 22                      0.42856                 2.13302                 0.43490                 2.20590                 2019-04-18 18:40:54.262893  
  0.02268                 23                      0.43576                 2.11736                 0.43580                 2.15144                 2019-04-18 18:40:59.298588  
  0.02268                 24                      0.43566                 2.11517                 0.46440                 2.02784                 2019-04-18 18:41:04.181867  
  0.02268                 25                      0.43686                 2.10655                 0.44520                 2.13998                 2019-04-18 18:41:09.214359  
  0.02268                 26                      0.43658                 2.10590                 0.45910                 2.05333                 2019-04-18 18:41:14.242629  
  0.02268                 27                      0.43712                 2.09358                 0.44070                 2.14864                 2019-04-18 18:41:19.135000  
  0.02268                 28                      0.44000                 2.08924                 0.44260                 2.09994                 2019-04-18 18:41:24.113488  
  0.02268                 29                      0.44362                 2.08064                 0.45830                 2.05173                 2019-04-18 18:41:29.085689  
  0.02268                 30                      0.44594                 2.07341                 0.46400                 2.05290                 2019-04-18 18:41:34.154156  
  0.02268                 31                      0.44122                 2.07684                 0.46090                 2.04465                 2019-04-18 18:41:39.230048  
  0.02268                 32                      0.44700                 2.06180                 0.44520                 2.11016                 2019-04-18 18:41:44.169874  
  0.02268                 33                      0.44878                 2.06226                 0.45190                 2.09030                 2019-04-18 18:41:49.034264  
  0.02268                 34                      0.44568                 2.06141                 0.45960                 2.06917                 2019-04-18 18:41:53.976445  
  0.02268                 35                      0.44772                 2.04854                 0.46030                 2.07309                 2019-04-18 18:41:58.882939  
  0.02268                 36                      0.44858                 2.04672                 0.47390                 1.98601                 2019-04-18 18:42:03.824086  
  0.02268                 37                      0.45044                 2.04480                 0.46460                 2.01896                 2019-04-18 18:42:08.607506  
  0.02268                 38                      0.45254                 2.03907                 0.46750                 2.00733                 2019-04-18 18:42:13.567725  
  0.02268                 39                      0.45096                 2.04396                 0.47260                 2.01356                 2019-04-18 18:42:18.449962  
  0.02268                 40                      0.45314                 2.03820                 0.46780                 2.07207                 2019-04-18 18:42:23.371328  
  0.02268                 41                      0.45438                 2.03170                 0.46400                 2.08742                 2019-04-18 18:42:28.348223  
  0.02268                 42                      0.45218                 2.03330                 0.48050                 1.97340                 2019-04-18 18:42:33.278032  
  0.02268                 43                      0.45526                 2.02954                 0.47380                 2.00684                 2019-04-18 18:42:38.225310  
  0.02268                 44                      0.45370                 2.02318                 0.41690                 2.29805                 2019-04-18 18:42:43.116734  
  0.02268                 45                      0.45648                 2.02426                 0.47570                 1.97063                 2019-04-18 18:42:48.105801  
  0.02268                 46                      0.45606                 2.01856                 0.47840                 1.97325                 2019-04-18 18:42:52.981921  
  0.02268                 47                      0.45778                 2.01222                 0.45970                 2.06477                 2019-04-18 18:42:57.846862  
  0.02268                 48                      0.45868                 2.00566                 0.47130                 2.01014                 2019-04-18 18:43:02.659810  
  0.02268                 49                      0.45478                 2.01571                 0.48330                 1.95943                 2019-04-18 18:43:07.644845  
  0.02268                 50                      0.45952                 2.00376                 0.45420                 2.13841                 2019-04-18 18:43:12.605797  
  0.02268                 51                      0.46102                 2.00035                 0.46480                 2.05754                 2019-04-18 18:43:17.520299  
  0.02268                 52                      0.46084                 2.00096                 0.44210                 2.13195                 2019-04-18 18:43:22.512898  
  0.02268                 53                      0.46016                 2.00689                 0.47080                 2.00491                 2019-04-18 18:43:27.509145  
  0.02268                 54                      0.46174                 1.99899                 0.47110                 1.99687                 2019-04-18 18:43:32.344314  
  0.02268                 55                      0.46220                 1.99980                 0.47260                 1.96917                 2019-04-18 18:43:37.260426  
  0.02268                 56                      0.46286                 1.99024                 0.46370                 2.05153                 2019-04-18 18:43:42.220296  
  0.02268                 57                      0.46214                 1.99064                 0.48010                 1.99345                 2019-04-18 18:43:47.170447  
  0.02268                 58                      0.46374                 1.99158                 0.48580                 1.92745                 2019-04-18 18:43:51.992947  
  0.02268                 59                      0.46150                 1.99177                 0.46760                 2.00122                 2019-04-18 18:43:56.938139  
  0.02268                 60                      0.46632                 1.98183                 0.45870                 2.14938                 2019-04-18 18:44:01.838908  
  0.02268                 61                      0.46294                 1.98841                 0.46080                 2.10968                 2019-04-18 18:44:06.759210  
  0.02268                 62                      0.46580                 1.97860                 0.47150                 2.00570                 2019-04-18 18:44:11.726723  
  0.02268                 63                      0.46320                 1.98308                 0.45690                 2.11831                 2019-04-18 18:44:16.607621  
  0.02268                 64                      0.46434                 1.98872                 0.47250                 2.00518                 2019-04-18 18:44:21.473273  
  0.02268                 65                      0.46564                 1.97987                 0.46880                 2.05944                 2019-04-18 18:44:26.396623  
  0.02268                 66                      0.46470                 1.97507                 0.47090                 2.03817                 2019-04-18 18:44:31.303899  
  0.02268                 67                      0.46522                 1.97825                 0.45510                 2.12532                 2019-04-18 18:44:36.176158  
  0.02268                 68                      0.46788                 1.97725                 0.48610                 1.93586                 2019-04-18 18:44:41.189959  
  0.02268                 69                      0.46578                 1.97678                 0.47310                 2.03345                 2019-04-18 18:44:46.138974  
  0.02268                 70                      0.46478                 1.97179                 0.47140                 2.01495                 2019-04-18 18:44:51.062558  
  0.02268                 71                      0.46768                 1.96956                 0.46870                 2.02338                 2019-04-18 18:44:56.096135  
  0.02268                 72                      0.46920                 1.97048                 0.45750                 2.06876                 2019-04-18 18:45:00.950919  
  0.02268                 73                      0.46924                 1.96851                 0.47760                 1.97909                 2019-04-18 18:45:06.022946  
  0.02268                 74                      0.47114                 1.96518                 0.45890                 2.10741                 2019-04-18 18:45:10.835586  
  0.02268                 75                      0.46722                 1.96240                 0.48470                 1.96011                 2019-04-18 18:45:15.747913  
  0.02268                 76                      0.46892                 1.97209                 0.46970                 2.03383                 2019-04-18 18:45:20.530442  
  0.02268                 77                      0.46776                 1.96715                 0.47910                 1.97796                 2019-04-18 18:45:25.513709  
  0.02268                 78                      0.46868                 1.96974                 0.45300                 2.07642                 2019-04-18 18:45:30.483020  
  0.02268                 79                      0.46944                 1.96652                 0.44850                 2.18124                 2019-04-18 18:45:35.387680  
  0.02268                 80                      0.46960                 1.96318                 0.47070                 1.96972                 2019-04-18 18:45:40.304622  
  0.02268                 81                      0.47110                 1.95858                 0.46760                 2.08719                 2019-04-18 18:45:45.302047  
  0.02268                 82                      0.47104                 1.95305                 0.46740                 2.00722                 2019-04-18 18:45:50.229295  
  0.02268                 83                      0.47108                 1.95965                 0.47470                 1.95588                 2019-04-18 18:45:55.090010  
  0.02268                 84                      0.46986                 1.96400                 0.47410                 2.02320                 2019-04-18 18:45:59.995039  
  0.02268                 85                      0.47158                 1.95859                 0.48310                 1.92412                 2019-04-18 18:46:04.879281  
  0.02268                 86                      0.47008                 1.95752                 0.47900                 2.01989                 2019-04-18 18:46:09.740370  
  0.02268                 87                      0.47224                 1.95413                 0.47660                 1.98646                 2019-04-18 18:46:14.604038  
  0.02268                 88                      0.47006                 1.94804                 0.46310                 2.09900                 2019-04-18 18:46:19.508463  
  0.02268                 89                      0.47160                 1.94723                 0.47980                 1.95662                 2019-04-18 18:46:24.439395  
  0.02268                 90                      0.46896                 1.95529                 0.48680                 1.95203                 2019-04-18 18:46:29.355450  
  0.02268                 91                      0.47280                 1.94872                 0.49260                 1.88886                 2019-04-18 18:46:34.332603  
  0.02268                 92                      0.47498                 1.95251                 0.47890                 1.99107                 2019-04-18 18:46:39.201878  
  0.02268                 93                      0.47538                 1.94387                 0.49280                 1.90797                 2019-04-18 18:46:44.062742  
  0.02268                 94                      0.47002                 1.94892                 0.48170                 2.00585                 2019-04-18 18:46:48.931060  
  0.02268                 95                      0.47052                 1.95493                 0.48730                 1.95759                 2019-04-18 18:46:53.814213  
  0.02268                 96                      0.47492                 1.94284                 0.45730                 2.10361                 2019-04-18 18:46:58.802277  
  0.02268                 97                      0.47368                 1.94629                 0.47830                 1.93877                 2019-04-18 18:47:03.768643  
  0.02268                 98                      0.47010                 1.95098                 0.49230                 1.91436                 2019-04-18 18:47:08.735800  
  0.02268                 99                      0.47320                 1.94465                 0.46870                 2.03233                 2019-04-18 18:47:13.685760  
  0.02268                 100                     0.47278                 1.94393                 0.46740                 2.00085                 2019-04-18 18:47:18.613812  
  0.02268                 101                     0.47558                 1.94076                 0.48610                 1.90488                 2019-04-18 18:47:23.519409  
  0.02268                 102                     0.47002                 1.94685                 0.48400                 1.93241                 2019-04-18 18:47:28.506762  
  0.02268                 103                     0.47246                 1.94680                 0.47030                 2.03717                 2019-04-18 18:47:33.398775  
