shuhei:~.$ python nelder.py -model CNN -num 0 -round 0
Will collect a position from the storage.


shuhei:~.$ python env.py -model CNN -num 0 -round 0 -cuda 1
Collecting Environment Variables and Putting in Shell Scripts.

shuhei:~.$ ./run.sh
shuhei:~.$ CUDA_VISIBLE_DEVICES=1 python train.py -model CNN -num 0 -round 0 -batch_size 114 -lr 0.011039396032278147 -momentum 0.8956904882251625 -weight_decay 5.666342782765128e-05 -ch1 88 -ch2 23 -ch3 52 -ch4 58 -drop_rate 0.2782154839939689
Start Training


Files already downloaded and verified
  lr                      epoch                   TrainAcc                TrainLoss               TestAcc                 TestLoss                Time                  
  0.01104                 1                       0.11684                 3.83457                 0.20710                 3.26664                 2019-04-19 12:36:30.129530  
  0.01104                 2                       0.21342                 3.21723                 0.27410                 2.91406                 2019-04-19 12:36:34.786539  
  0.01104                 3                       0.25880                 2.97579                 0.31150                 2.70344                 2019-04-19 12:36:39.458634  
  0.01104                 4                       0.28914                 2.81600                 0.34290                 2.57434                 2019-04-19 12:36:44.076746  
  0.01104                 5                       0.30996                 2.71778                 0.33330                 2.61187                 2019-04-19 12:36:48.792975  
  0.01104                 6                       0.32418                 2.63827                 0.36950                 2.46115                 2019-04-19 12:36:53.468425  
  0.01104                 7                       0.34068                 2.55981                 0.40220                 2.29187                 2019-04-19 12:36:58.093541  
  0.01104                 8                       0.35112                 2.51111                 0.39920                 2.33991                 2019-04-19 12:37:02.727697  
  0.01104                 9                       0.35976                 2.45906                 0.40860                 2.25591                 2019-04-19 12:37:07.451601  
  0.01104                 10                      0.37070                 2.42194                 0.42420                 2.18975                 2019-04-19 12:37:12.120287  
  0.01104                 11                      0.37706                 2.38335                 0.43210                 2.17734                 2019-04-19 12:37:16.783218  
  0.01104                 12                      0.38528                 2.35497                 0.44180                 2.11433                 2019-04-19 12:37:21.459073  
  0.01104                 13                      0.39348                 2.31860                 0.43770                 2.15018                 2019-04-19 12:37:26.098211  
  0.01104                 14                      0.39470                 2.29761                 0.44810                 2.07143                 2019-04-19 12:37:30.790442  
  0.01104                 15                      0.40014                 2.26835                 0.44210                 2.12170                 2019-04-19 12:37:35.490503  
  0.01104                 16                      0.40598                 2.25030                 0.45330                 2.07421                 2019-04-19 12:37:40.083490  
  0.01104                 17                      0.41112                 2.23180                 0.45460                 2.06825                 2019-04-19 12:37:44.682068  
  0.01104                 18                      0.41438                 2.21114                 0.46440                 2.00357                 2019-04-19 12:37:49.300539  
  0.01104                 19                      0.42070                 2.18633                 0.46460                 2.01297                 2019-04-19 12:37:53.997656  
  0.01104                 20                      0.42550                 2.16992                 0.46020                 2.03786                 2019-04-19 12:37:58.599001  
  0.01104                 21                      0.42500                 2.16278                 0.46700                 1.98602                 2019-04-19 12:38:03.174161  
  0.01104                 22                      0.42502                 2.14906                 0.47920                 1.94341                 2019-04-19 12:38:07.895704  
  0.01104                 23                      0.43100                 2.13399                 0.48240                 1.92822                 2019-04-19 12:38:12.549374  
  0.01104                 24                      0.43296                 2.11744                 0.47030                 2.00130                 2019-04-19 12:38:17.218872  
  0.01104                 25                      0.43964                 2.10477                 0.48650                 1.92610                 2019-04-19 12:38:21.871448  
