shuhei:~.$ python nelder.py -model CNN -num 0 -round 0
Will get the positions by Nelder-Mead Method.
Saving the position data as shown below...
  batch_size       lr               momentum         weight_decay     ch1              ch2              ch3              ch4              drop_rate      
  6.863            -2.023           0.899            -4.365           6.468            4.524            5.726            5.804          
  6.836            -1.993           0.903            -4.290           6.431            4.612            5.726            5.861          
  6.977            -1.961           0.905            -4.434           6.477            4.584            5.738            5.889          
  6.780            -2.055           0.891            -4.296           6.529            4.715            5.584            5.819          
  6.662            -2.028           0.897            -4.392           6.362            4.665            5.726            5.741          
  6.937            -1.944           0.895            -4.351           6.537            4.584            5.584            6.044          
  6.836            -1.984           0.896            -4.318           6.441            4.612            5.658            5.861          
  6.836            -1.958           0.896            -4.238           6.468            4.524            5.763            5.861          
  6.913            -1.914           0.895            -4.180           6.441            4.715            5.568            5.953          


shuhei:~.$ python env.py -model CNN -num 0 -round 0 -cuda 1
Collecting Environment Variables and Putting in Shell Scripts.

shuhei:~.$ ./run.sh
shuhei:~.$ CUDA_VISIBLE_DEVICES=1 python train.py -model CNN -num 0 -round 0 -batch_size 116 -lr 0.009477281978503416 -momentum 0.8989316317606257 -weight_decay 4.318980765341276e-05 -ch1 88 -ch2 23 -ch3 52 -ch4 55 -drop_rate 0.2554868774144591
Start Training


Files already downloaded and verified
  lr                      epoch                   TrainAcc                TrainLoss               TestAcc                 TestLoss                Time                  
  0.00948                 49                      0.47052                 1.96037                 0.49670                 1.88318                 2019-04-19 02:07:06.425745  
  0.00948                 50                      0.47518                 1.94666                 0.50940                 1.84385                 2019-04-19 02:07:10.894029  
  0.00948                 51                      0.47294                 1.94107                 0.50270                 1.85626                 2019-04-19 02:07:15.446124  
  0.00948                 52                      0.47592                 1.93257                 0.49330                 1.88067                 2019-04-19 02:07:19.908168  
  0.00948                 53                      0.47858                 1.92774                 0.47680                 1.98459                 2019-04-19 02:07:24.462921  
  0.00948                 54                      0.47932                 1.92160                 0.50660                 1.81503                 2019-04-19 02:07:29.097805  
  0.00948                 55                      0.48004                 1.91843                 0.44900                 2.10496                 2019-04-19 02:07:33.670622  
  0.00948                 56                      0.48064                 1.93242                 0.50660                 1.84731                 2019-04-19 02:07:38.224198  
  0.00948                 57                      0.48048                 1.91413                 0.50980                 1.82453                 2019-04-19 02:07:42.822605  
  0.00948                 58                      0.48052                 1.91360                 0.47920                 1.97807                 2019-04-19 02:07:47.338266  
  0.00948                 59                      0.48060                 1.91205                 0.50320                 1.87348                 2019-04-19 02:07:51.862206  
  0.00948                 60                      0.48388                 1.91067                 0.46690                 2.01479                 2019-04-19 02:07:56.408872  
  0.00948                 61                      0.48376                 1.90586                 0.46310                 2.10741                 2019-04-19 02:08:00.907060  
  0.00948                 62                      0.48180                 1.90427                 0.48290                 1.95809                 2019-04-19 02:08:05.375939  
  0.00948                 63                      0.48434                 1.89981                 0.51710                 1.80204                 2019-04-19 02:08:09.972692  
  0.00948                 64                      0.48956                 1.88634                 0.49670                 1.91171                 2019-04-19 02:08:14.580997  
  0.00948                 65                      0.48534                 1.89521                 0.50660                 1.83330                 2019-04-19 02:08:19.133382  
  0.00948                 66                      0.48820                 1.87833                 0.51010                 1.83962                 2019-04-19 02:08:23.857236  
  0.00948                 67                      0.48822                 1.87830                 0.50350                 1.90769                 2019-04-19 02:08:28.397625  
  0.00948                 68                      0.49104                 1.87722                 0.51970                 1.77552                 2019-04-19 02:08:32.913617  
  0.00948                 69                      0.48956                 1.87100                 0.50680                 1.89828                 2019-04-19 02:08:37.403454  
  0.00948                 70                      0.49196                 1.86792                 0.51340                 1.80281                 2019-04-19 02:08:42.046006  
  0.00948                 71                      0.49046                 1.86992                 0.48190                 2.01085                 2019-04-19 02:08:46.530440  
  0.00948                 72                      0.48782                 1.87186                 0.45960                 2.09312                 2019-04-19 02:08:51.064732  
  0.00948                 73                      0.49126                 1.87518                 0.49620                 1.91048                 2019-04-19 02:08:55.606922  
  0.00948                 74                      0.49128                 1.86570                 0.52360                 1.76266                 2019-04-19 02:09:00.162430  
  0.00948                 75                      0.49824                 1.84435                 0.48780                 1.98589                 2019-04-19 02:09:04.772403  
  0.00948                 76                      0.49442                 1.85961                 0.50400                 1.88339                 2019-04-19 02:09:09.355106  
  0.00948                 77                      0.49592                 1.85075                 0.50020                 1.93191                 2019-04-19 02:09:13.827453  
  0.00948                 78                      0.50024                 1.84223                 0.47930                 2.04210                 2019-04-19 02:09:18.383881  
  0.00948                 79                      0.49804                 1.86339                 0.50800                 1.84889                 2019-04-19 02:09:22.859512  
  0.00948                 80                      0.49584                 1.84755                 0.50800                 1.83925                 2019-04-19 02:09:27.461692  
  0.00948                 81                      0.49620                 1.84705                 0.47230                 2.02915                 2019-04-19 02:09:32.012177  
  0.00948                 82                      0.49620                 1.85046                 0.50630                 1.86623                 2019-04-19 02:09:36.587918  
  0.00948                 83                      0.49986                 1.83631                 0.52170                 1.77676                 2019-04-19 02:09:41.154058  
  0.00948                 84                      0.49850                 1.83449                 0.51400                 1.80924                 2019-04-19 02:09:45.725770  
  0.00948                 85                      0.49960                 1.83193                 0.51630                 1.83865                 2019-04-19 02:09:50.291897  
  0.00948                 86                      0.50084                 1.82748                 0.52120                 1.82265                 2019-04-19 02:09:54.802247  
  0.00948                 87                      0.50018                 1.83231                 0.52480                 1.75244                 2019-04-19 02:09:59.294083  
  0.00948                 88                      0.50034                 1.82211                 0.50380                 1.88411                 2019-04-19 02:10:03.835732  
  0.00948                 89                      0.50192                 1.82731                 0.52450                 1.74778                 2019-04-19 02:10:08.365563  
  0.00948                 90                      0.50568                 1.81150                 0.50990                 1.86537                 2019-04-19 02:10:12.933689  
  0.00948                 91                      0.50658                 1.81654                 0.52050                 1.81414                 2019-04-19 02:10:17.556641  
  0.00948                 92                      0.50354                 1.81514                 0.49630                 1.91047                 2019-04-19 02:10:22.115625  
  0.00948                 93                      0.50002                 1.81930                 0.51780                 1.77429                 2019-04-19 02:10:26.631593  
  0.00948                 94                      0.50682                 1.80470                 0.51930                 1.79503                 2019-04-19 02:10:31.161365  
  0.00948                 95                      0.50768                 1.80719                 0.52530                 1.81308                 2019-04-19 02:10:35.627131  
  0.00948                 96                      0.50516                 1.81062                 0.53180                 1.75928                 2019-04-19 02:10:40.191545  
  0.00948                 97                      0.50802                 1.80514                 0.50520                 1.87947                 2019-04-19 02:10:44.739506  
  0.00948                 98                      0.50792                 1.80294                 0.51650                 1.82949                 2019-04-19 02:10:49.319242  
  0.00948                 99                      0.50638                 1.81194                 0.53410                 1.73463                 2019-04-19 02:10:53.883449  
  0.00948                 100                     0.51178                 1.79292                 0.51760                 1.80574                 2019-04-19 02:10:58.424668  
  0.00948                 101                     0.50866                 1.79907                 0.52130                 1.80092                 2019-04-19 02:11:02.921962  
  0.00948                 102                     0.50878                 1.79155                 0.50360                 1.87187                 2019-04-19 02:11:07.466495  
  0.00948                 103                     0.50858                 1.79571                 0.52820                 1.73459                 2019-04-19 02:11:12.063734  
  0.00948                 104                     0.51348                 1.79292                 0.50320                 1.87319                 2019-04-19 02:11:16.636840  
  0.00948                 105                     0.50930                 1.79030                 0.50430                 1.90348                 2019-04-19 02:11:21.129946  
  0.00948                 106                     0.50256                 1.81349                 0.53190                 1.73105                 2019-04-19 02:11:25.669013  
  0.00948                 107                     0.50834                 1.78932                 0.53570                 1.70890                 2019-04-19 02:11:30.319044  
  0.00948                 108                     0.51406                 1.77271                 0.52870                 1.76248                 2019-04-19 02:11:34.915822  
  0.00948                 109                     0.50868                 1.79787                 0.52250                 1.77571                 2019-04-19 02:11:39.388096  
  0.00948                 110                     0.51284                 1.78433                 0.51620                 1.78332                 2019-04-19 02:11:43.850920  
  0.00948                 111                     0.51206                 1.78111                 0.51240                 1.88278                 2019-04-19 02:11:48.337041  
  0.00948                 112                     0.51354                 1.77814                 0.51450                 1.84694                 2019-04-19 02:11:52.896909  
  0.00948                 113                     0.51178                 1.78365                 0.52070                 1.77634                 2019-04-19 02:11:57.463989  
  0.00948                 114                     0.51428                 1.77244                 0.52010                 1.82381                 2019-04-19 02:12:01.978569  
  0.00948                 115                     0.51326                 1.77036                 0.53280                 1.72909                 2019-04-19 02:12:06.521962  
  0.00948                 116                     0.51402                 1.76762                 0.53140                 1.72629                 2019-04-19 02:12:10.989441  
  0.00948                 117                     0.51526                 1.76433                 0.53170                 1.73149                 2019-04-19 02:12:15.505112  
  0.00948                 118                     0.51562                 1.76227                 0.51980                 1.78314                 2019-04-19 02:12:19.980181  
  0.00948                 119                     0.51550                 1.77226                 0.54080                 1.69829                 2019-04-19 02:12:24.480944  
  0.00948                 120                     0.51918                 1.75529                 0.52700                 1.73669                 2019-04-19 02:12:29.019296  
  0.00948                 121                     0.52086                 1.75493                 0.51880                 1.82543                 2019-04-19 02:12:33.571275  
  0.00948                 122                     0.51718                 1.75964                 0.53040                 1.71776                 2019-04-19 02:12:38.192144  
  0.00948                 123                     0.51806                 1.75440                 0.52770                 1.79381                 2019-04-19 02:12:42.719158  
  0.00948                 124                     0.51862                 1.75399                 0.53440                 1.73316                 2019-04-19 02:12:47.333424  
  0.00948                 125                     0.51498                 1.76215                 0.52540                 1.75234                 2019-04-19 02:12:51.786897  
  0.00948                 126                     0.51728                 1.76479                 0.53730                 1.69724                 2019-04-19 02:12:56.302110  
  0.00948                 127                     0.51780                 1.75518                 0.52280                 1.79255                 2019-04-19 02:13:00.843098  
  0.00948                 128                     0.51862                 1.75539                 0.52860                 1.72033                 2019-04-19 02:13:05.409886  
  0.00948                 129                     0.51854                 1.75542                 0.52810                 1.76429                 2019-04-19 02:13:09.949921  
  0.00948                 130                     0.52206                 1.74607                 0.52360                 1.77741                 2019-04-19 02:13:14.612399  
  0.00948                 131                     0.51872                 1.75373                 0.50450                 1.89933                 2019-04-19 02:13:19.206613  
  0.00948                 132                     0.51874                 1.75280                 0.50220                 1.85313                 2019-04-19 02:13:23.823786  
  0.00948                 133                     0.51730                 1.75213                 0.48380                 2.03661                 2019-04-19 02:13:28.391819  
  0.00948                 134                     0.52106                 1.74388                 0.50850                 1.84347                 2019-04-19 02:13:33.021675  
  0.00948                 135                     0.51918                 1.74638                 0.52520                 1.77392                 2019-04-19 02:13:37.641347  
  0.00948                 136                     0.52222                 1.73958                 0.51380                 1.81632                 2019-04-19 02:13:42.178387  
  0.00948                 137                     0.52112                 1.74695                 0.53170                 1.74271                 2019-04-19 02:13:46.776140  
  0.00948                 138                     0.52174                 1.74070                 0.52760                 1.73519                 2019-04-19 02:13:51.319439  
  0.00948                 139                     0.52084                 1.74504                 0.52720                 1.78294                 2019-04-19 02:13:55.667829  
  0.00948                 140                     0.52128                 1.73565                 0.52440                 1.78203                 2019-04-19 02:13:59.541477  
  0.00948                 141                     0.52284                 1.74255                 0.53260                 1.73427                 2019-04-19 02:14:04.067766  
  0.00948                 142                     0.52414                 1.73358                 0.53810                 1.68726                 2019-04-19 02:14:08.557661  
  0.00948                 143                     0.52346                 1.73346                 0.47860                 2.11447                 2019-04-19 02:14:13.019872  
  0.00948                 144                     0.52306                 1.73362                 0.52680                 1.74403                 2019-04-19 02:14:17.517139  
  0.00948                 145                     0.52344                 1.73629                 0.52290                 1.78901                 2019-04-19 02:14:22.091676  
