batch_size,lr,momentum,weight_decay,ch1,ch2,ch3,ch4,drop_rate,loss
196,0.05080686837369552,0.9061917424379624,4.520831345128557e-05,104,55,42,107,0.9889593468454366,100000000.0
95,0.1144835693587108,0.8660699516284697,1.3014896347699012e-05,30,16,82,47,0.6469814541515417,2.4131885277032854
152,0.005707116699857659,0.998276324147614,9.077062760599846e-06,47,24,122,25,0.7641227880083048,3.008499369239807
78,0.01625522434444757,0.810198420637756,0.03770025034448485,85,33,23,73,0.8383839460691419,3.9869634637355804
58,0.008530449610621688,0.8571707285333352,8.743127236719485e-05,59,44,46,31,0.3092658558244974,1.7555854365706445
212,0.39511994699814784,0.8329654003200492,0.0034297232219839984,24,72,17,41,0.4958304626416166,3.4067370620727537
126,0.2334721970948144,0.8993698128283685,0.01630961440656654,73,22,64,93,0.28870188178351547,4.1056007685661315
65,0.14290290905293937,0.9607662194061128,0.002798104093660898,21,107,26,63,0.09457892789230123,4.048088318943977
35,0.0259715881173743,0.9239245533047629,0.0010978031374672273,40,91,34,23,0.1427316661801513,2.5279559862017633
41,0.04132060483420094,0.9577674690850686,0.00023165100091876984,16,45,97,17,0.5924687119656757,3.360259586930275
34,0.044809014258446744,0.8952546753157125,0.008762562115213797,13,31,51,14,-0.061611414730604275,100000000.0
126,0.04923604586667719,0.9034574756573999,0.0001686830738868917,62,47,44,65,0.7263166564514264,2.1175276703357695
53,0.006899872893548494,0.9029849744428688,8.79451516601202e-06,19,93,30,15,0.7358937780352972,100000000.0
101,0.09680251713193229,0.9002736032319936,0.002485339634400687,52,31,53,59,0.40049985584646086,3.2978206414461138
113,0.010338209291028041,0.8281457642708756,4.992891704790118e-05,81,14,89,22,0.997999160360769,100000000.0
74,0.07411261415628773,0.9276111056223035,0.001022670990468827,29,65,35,48,0.3204339860094182,2.7101214967250824
93,0.12732552000710967,1.0048052708135766,1.6624041023441467e-06,15,55,110,17,0.13909415105954526,100000000.0
81,0.02719403113442541,0.8588501331817112,0.0030721493593304987,55,37,34,51,0.6635614973167427,2.6341406231403353
27,0.0028900176925941786,0.9877904539894303,1.7831826014671802e-05,67,21,174,33,0.5189211977482098,100000000.0
127,0.11555050332252678,0.8716716637373945,0.0009209652846906285,31,53,30,39,0.5016031464182649,2.5430455510616303
184,0.03473028763788782,0.8438559840360391,0.0003587754588548855,116,36,23,97,0.402090600524726,1.7942229573249817
85,0.011804834296783131,0.8888126011789019,2.175100770904136e-05,43,54,35,31,0.5944129554613332,1.9686283269524574
49,0.2353275172535575,0.7664846084924568,0.007232037816961124,46,84,11,77,0.1930767271779401,100000000.0
115,0.014462079450708371,0.9403283952338247,4.822521536492128e-05,46,32,68,33,0.6213612728007136,1.956017186820507
113,0.012603605552632784,0.8399758913758832,3.25612305811134e-05,83,26,47,37,0.7036382595748923,2.0613570583462715
111,0.02895315106979576,0.9045425878596246,3.946053529971627e-06,48,43,52,32,0.3694166954360454,100000000.0
87,0.027623528461574953,0.8702732468511896,0.0005815974418726704,53,38,37,45,0.5900252968465685,2.1239772050380705
65,0.004957789674972905,0.8914102979958958,1.1885073361178574e-05,96,27,62,44,0.5510244130963686,100000000.0
107,0.05258972572745138,0.8766063223020197,0.0003104080043564543,41,45,36,40,0.5139584630877908,2.1330428106188775
