shuhei:~.$ python nelder.py -model CNN -num 3 -round 0
Will get the positions by Nelder-Mead Method.
Saving the position data as shown below...
  batch_size       lr               momentum         weight_decay     ch1              ch2              ch3              ch4              drop_rate      
  7.960            -1.553           0.932            -4.893           5.322            4.124            6.082            5.844          
  7.934            -1.725           0.951            -4.746           5.713            4.209            5.841            6.114          
  7.855            -1.641           0.943            -4.860           5.855            4.124            5.827            6.018          
  7.934            -1.624           0.949            -4.639           5.726            4.416            5.770            6.105          
  7.762            -1.641           0.944            -4.707           5.366            4.285            5.954            5.699          
  7.848            -1.597           0.940            -4.736           5.844            4.168            5.977            6.008          
  7.795            -1.543           0.929            -4.679           5.833            4.354            6.072            5.942          
  7.643            -1.869           0.968            -4.426           5.518            4.285            6.042            5.632          
  7.537            -1.827           0.953            -4.372           5.322            4.501            5.542            6.028          


shuhei:~.$ python env.py -model CNN -num 3 -round 0 -cuda 1
Collecting Environment Variables and Putting in Shell Scripts.

shuhei:~.$ ./run.sh
shuhei:~.$ CUDA_VISIBLE_DEVICES=1 python train.py -model CNN -num 3 -round 0 -batch_size 248 -lr 0.02799329201395636 -momentum 0.9320245721481647 -weight_decay 1.2786835284071039e-05 -ch1 39 -ch2 17 -ch3 67 -ch4 57 -drop_rate 0.3584044386815335
Start Training


Files already downloaded and verified
  lr                      epoch                   TrainAcc                TrainLoss               TestAcc                 TestLoss                Time                  
  0.02799                 1                       0.11804                 3.82585                 0.15920                 3.69775                 2019-04-20 02:20:14.726468  
  0.02799                 2                       0.20066                 3.28249                 0.27410                 2.91715                 2019-04-20 02:20:19.151750  
  0.02799                 3                       0.24088                 3.06025                 0.30540                 2.73460                 2019-04-20 02:20:23.620873  
  0.02799                 4                       0.26792                 2.92158                 0.32760                 2.61418                 2019-04-20 02:20:27.931275  
  0.02799                 5                       0.28958                 2.81525                 0.35730                 2.51298                 2019-04-20 02:20:32.368292  
  0.02799                 6                       0.30500                 2.73860                 0.35840                 2.46565                 2019-04-20 02:20:36.778530  
  0.02799                 7                       0.31678                 2.67095                 0.37070                 2.41962                 2019-04-20 02:20:41.192072  
  0.02799                 8                       0.33034                 2.60887                 0.37860                 2.37304                 2019-04-20 02:20:45.637133  
  0.02799                 9                       0.34424                 2.55596                 0.40270                 2.29139                 2019-04-20 02:20:50.010686  
  0.02799                 10                      0.35276                 2.51584                 0.40110                 2.30733                 2019-04-20 02:20:54.469701  
  0.02799                 11                      0.35720                 2.47988                 0.41890                 2.20106                 2019-04-20 02:20:58.947703  
  0.02799                 12                      0.36366                 2.44986                 0.43060                 2.15541                 2019-04-20 02:21:03.290886  
  0.02799                 13                      0.37028                 2.41921                 0.43740                 2.12686                 2019-04-20 02:21:07.791482  
  0.02799                 14                      0.37384                 2.39529                 0.44130                 2.11812                 2019-04-20 02:21:12.355033  
  0.02799                 15                      0.38096                 2.37460                 0.44360                 2.11236                 2019-04-20 02:21:16.797255  
  0.02799                 16                      0.38614                 2.34176                 0.42510                 2.19391                 2019-04-20 02:21:21.219468  
  0.02799                 17                      0.39006                 2.32813                 0.44500                 2.08329                 2019-04-20 02:21:25.690210  
  0.02799                 18                      0.39280                 2.31368                 0.45230                 2.05743                 2019-04-20 02:21:29.462615  
  0.02799                 19                      0.39780                 2.29613                 0.45390                 2.05130                 2019-04-20 02:21:33.422483  
  0.02799                 20                      0.39716                 2.28993                 0.45010                 2.05792                 2019-04-20 02:21:37.914385  
  0.02799                 21                      0.40308                 2.27666                 0.46700                 2.01028                 2019-04-20 02:21:42.329886  
  0.02799                 22                      0.40734                 2.25279                 0.46910                 1.99587                 2019-04-20 02:21:46.735920  
  0.02799                 23                      0.40968                 2.24422                 0.46050                 2.00217                 2019-04-20 02:21:51.206907  
  0.02799                 24                      0.40782                 2.24113                 0.46380                 1.99002                 2019-04-20 02:21:55.619987  
  0.02799                 25                      0.41294                 2.21955                 0.47120                 1.98558                 2019-04-20 02:22:00.017223  
  0.02799                 26                      0.41262                 2.21360                 0.46280                 2.03368                 2019-04-20 02:22:04.470092  
  0.02799                 27                      0.41622                 2.20843                 0.47700                 1.95933                 2019-04-20 02:22:08.788038  
  0.02799                 28                      0.42160                 2.19376                 0.47540                 1.96090                 2019-04-20 02:22:13.199630  
  0.02799                 29                      0.42224                 2.17669                 0.47690                 1.95309                 2019-04-20 02:22:17.582406  
  0.02799                 30                      0.42450                 2.17011                 0.47250                 1.97353                 2019-04-20 02:22:21.978576  
  0.02799                 31                      0.42338                 2.16992                 0.48080                 1.95194                 2019-04-20 02:22:26.409311  
  0.02799                 32                      0.42878                 2.15715                 0.48010                 1.95853                 2019-04-20 02:22:30.842752  
  0.02799                 33                      0.42934                 2.14876                 0.48990                 1.92590                 2019-04-20 02:22:35.173209  
  0.02799                 34                      0.43222                 2.14203                 0.47660                 1.96786                 2019-04-20 02:22:39.503671  
  0.02799                 35                      0.43180                 2.13876                 0.46860                 1.96841                 2019-04-20 02:22:43.843954  
  0.02799                 36                      0.43152                 2.13691                 0.49030                 1.87872                 2019-04-20 02:22:48.178852  
  0.02799                 37                      0.43362                 2.12300                 0.48020                 1.95818                 2019-04-20 02:22:52.621867  
  0.02799                 38                      0.43548                 2.11823                 0.48410                 1.93488                 2019-04-20 02:22:57.094697  
  0.02799                 39                      0.43840                 2.10665                 0.48590                 1.91132                 2019-04-20 02:23:01.607790  
  0.02799                 40                      0.43800                 2.11042                 0.49400                 1.90452                 2019-04-20 02:23:06.007177  
  0.02799                 41                      0.44092                 2.09900                 0.49030                 1.88148                 2019-04-20 02:23:10.368309  
  0.02799                 42                      0.44168                 2.10129                 0.48990                 1.89711                 2019-04-20 02:23:14.801223  
  0.02799                 43                      0.44094                 2.09063                 0.48930                 1.89090                 2019-04-20 02:23:19.198480  
  0.02799                 44                      0.44354                 2.08733                 0.48870                 1.89389                 2019-04-20 02:23:23.666620  
  0.02799                 45                      0.44454                 2.07880                 0.49880                 1.85720                 2019-04-20 02:23:28.063947  
  0.02799                 46                      0.44740                 2.07627                 0.49350                 1.86950                 2019-04-20 02:23:32.491556  
  0.02799                 47                      0.44652                 2.06873                 0.49990                 1.86019                 2019-04-20 02:23:36.989945  
  0.02799                 48                      0.44630                 2.06908                 0.49840                 1.88844                 2019-04-20 02:23:41.427287  
  0.02799                 49                      0.44748                 2.06018                 0.49710                 1.88670                 2019-04-20 02:23:45.851017  
  0.02799                 50                      0.44814                 2.06102                 0.49290                 1.91477                 2019-04-20 02:23:50.289950  
  0.02799                 51                      0.45162                 2.05194                 0.50430                 1.84979                 2019-04-20 02:23:54.691139  
  0.02799                 52                      0.45268                 2.05702                 0.50640                 1.84138                 2019-04-20 02:23:59.091060  
  0.02799                 53                      0.44602                 2.05026                 0.49880                 1.85833                 2019-04-20 02:24:03.465299  
  0.02799                 54                      0.44922                 2.04068                 0.50140                 1.84336                 2019-04-20 02:24:07.927193  
  0.02799                 55                      0.45140                 2.03856                 0.49900                 1.84304                 2019-04-20 02:24:12.378644  
  0.02799                 56                      0.45250                 2.03513                 0.50330                 1.83425                 2019-04-20 02:24:16.721457  
  0.02799                 57                      0.45630                 2.03772                 0.50030                 1.85717                 2019-04-20 02:24:21.089584  
  0.02799                 58                      0.45662                 2.02371                 0.50600                 1.85616                 2019-04-20 02:24:25.495131  
  0.02799                 59                      0.45556                 2.02301                 0.51460                 1.80777                 2019-04-20 02:24:29.892071  
  0.02799                 60                      0.45476                 2.02266                 0.50680                 1.84241                 2019-04-20 02:24:34.276859  
  0.02799                 61                      0.45666                 2.02201                 0.50660                 1.84114                 2019-04-20 02:24:38.727532  
  0.02799                 62                      0.45894                 2.01704                 0.50420                 1.86722                 2019-04-20 02:24:43.190202  
  0.02799                 63                      0.45750                 2.02213                 0.50410                 1.85400                 2019-04-20 02:24:47.595233  
  0.02799                 64                      0.45666                 2.01524                 0.50570                 1.83360                 2019-04-20 02:24:51.971021  
  0.02799                 65                      0.45942                 2.01457                 0.50130                 1.85822                 2019-04-20 02:24:56.332938  
  0.02799                 66                      0.45922                 2.01263                 0.50360                 1.84438                 2019-04-20 02:25:00.706606  
  0.02799                 67                      0.46086                 2.00378                 0.51290                 1.80204                 2019-04-20 02:25:05.207277  
  0.02799                 68                      0.46226                 2.00701                 0.50710                 1.83535                 2019-04-20 02:25:09.600880  
  0.02799                 69                      0.45906                 2.00398                 0.51670                 1.78443                 2019-04-20 02:25:14.135623  
  0.02799                 70                      0.46050                 2.00685                 0.52010                 1.80285                 2019-04-20 02:25:18.659853  
  0.02799                 71                      0.45976                 1.99821                 0.51180                 1.80836                 2019-04-20 02:25:23.134156  
  0.02799                 72                      0.46222                 1.99448                 0.51690                 1.80914                 2019-04-20 02:25:27.569087  
  0.02799                 73                      0.46344                 1.98450                 0.51030                 1.82268                 2019-04-20 02:25:31.917420  
  0.02799                 74                      0.46704                 1.98335                 0.51330                 1.79808                 2019-04-20 02:25:36.334866  
  0.02799                 75                      0.46428                 1.98857                 0.51500                 1.79577                 2019-04-20 02:25:40.723615  
  0.02799                 76                      0.46564                 1.98844                 0.50450                 1.82203                 2019-04-20 02:25:45.210874  
  0.02799                 77                      0.46966                 1.97870                 0.49730                 1.90265                 2019-04-20 02:25:49.614138  
  0.02799                 78                      0.46686                 1.97994                 0.51670                 1.79608                 2019-04-20 02:25:54.135433  
  0.02799                 79                      0.46630                 1.97730                 0.51930                 1.78539                 2019-04-20 02:25:58.567158  
  0.02799                 80                      0.46640                 1.98107                 0.51060                 1.84158                 2019-04-20 02:26:02.932960  
  0.02799                 81                      0.46738                 1.97855                 0.51130                 1.79392                 2019-04-20 02:26:07.387177  
  0.02799                 82                      0.46908                 1.97165                 0.51330                 1.80474                 2019-04-20 02:26:11.795884  
  0.02799                 83                      0.46756                 1.96436                 0.51460                 1.79444                 2019-04-20 02:26:16.224684  
  0.02799                 84                      0.46982                 1.96920                 0.50850                 1.85687                 2019-04-20 02:26:20.711704  
  0.02799                 85                      0.47038                 1.96480                 0.52120                 1.79581                 2019-04-20 02:26:25.202622  
  0.02799                 86                      0.46822                 1.96574                 0.52320                 1.77554                 2019-04-20 02:26:29.670712  
