batch_size,lr,momentum,weight_decay,ch1,ch2,ch3,ch4,drop_rate,loss
143,0.10162666085110938,0.9067056195510246,0.001863978106418789,44,35,34,71,0.5402478328086302,2.7263189201831817
274,0.25270801486827527,0.9232509419386253,3.514342920944685e-06,49,42,20,20,0.5707861430545726,100000000.0
59,0.02200676287808887,0.8844605246006996,0.0027670208139796795,42,46,48,59,0.4065082341623383,2.3928838317036627
157,0.011274252649260985,0.8612481177824346,0.0024370001352121444,51,32,23,51,0.43465556280809126,2.1170525077462194
144,0.03998012693959341,0.8338021615430709,0.00018875525246658042,36,34,15,53,0.14566203919874066,100000000.0
91,0.033967773708951925,0.9101101747839536,0.0007638353530955153,49,45,46,41,0.5633256535665232,2.2586630437135695
71,0.00992079927391215,0.8633992890191673,0.00010109435029361897,46,52,32,25,0.3130894693587598,1.8608471198558807
51,0.0030996750384518694,0.8417461237532387,2.35434403041558e-05,47,64,31,15,0.1995102876338246,100000000.0
108,0.010663056567949029,0.8677420589738517,9.291078494199049e-05,66,75,19,28,0.11398236391079031,1.7450681375026702
119,0.004395393040956839,0.8539738055332596,2.6118372413611762e-05,94,124,11,20,-0.15995251699867435,100000000.0
231,0.006002331511662491,0.9110049568190309,0.005623541194587545,21,119,38,26,-0.11326198928583275,100000000.0
73,0.038993217088209575,0.8689074980708769,9.918846103512216e-05,65,34,27,42,0.5328094825529962,2.071012332499027
205,0.02253460189807627,0.8779632159220851,2.504429135029561e-05,53,55,17,21,0.25646336047124785,1.8895279244184493
80,0.01724086512594907,0.9629253785401293,0.0011088694230381125,157,69,37,71,0.0765023060932235,100000000.0
134,0.024480532596886317,0.8510548689319462,0.00011322603779809503,30,45,24,25,0.41397673455551665,2.019200390744209
147,0.1300434592332444,0.7491199431409148,0.0003066251083232539,20,83,46,60,0.390424774120822,100000000.0
105,0.011555752971840662,0.9338873231502143,0.00020044582785398471,69,43,22,28,0.2844833630699221,1.9178936902880668
157,0.015535665084503348,0.839770028925,5.18747914804936e-05,47,64,15,29,0.014303726496898372,100000000.0
104,0.02793397725858061,0.8925251383192152,0.00038993202706791725,48,49,35,37,0.426070171799117,1.9685004660606384
70,0.002408586006601783,0.9422403360500083,3.708856740453377e-05,34,23,13,12,0.4646531549508311,100000000.0
142,0.05357214991789355,0.8528652489376569,0.00040193608113880047,54,71,35,50,0.24359008666576795,1.9221480266332627
79,0.04550759103287623,0.9022029117578297,9.069446799092894e-06,43,91,31,19,0.15744099468185924,1.8314300429582595
173,0.013617346632217886,0.9019425122887101,0.00013095222983065127,31,106,27,20,-0.02412814458996493,100000000.0
90,0.029975395631942264,0.8771662516253351,0.00010632223282956535,54,45,27,35,0.3935750757672559,1.9391916748285294
86,0.022688397534148752,0.9255976709150604,0.00011312435997933075,76,80,31,36,0.09017090145456774,1.7423211206674576
69,0.021842145889341667,0.9628690719066175,0.00011307355531536221,122,108,36,44,-0.07173201509590671,100000000.0
106,0.018985358808192576,0.8914768532157571,2.4950774590434505e-05,53,82,21,24,0.003433181912178618,1.815571390080452
127,0.015984893474447672,0.9100158735963975,6.630573010616012e-05,46,102,25,24,-0.050769920690421855,100000000.0
98,0.025615399260919915,0.8853786571181007,9.44834693335437e-05,52,55,26,31,0.2824888266528365,1.8559264512062073
100,0.010887409103320577,0.8507068370626523,1.1791924644560482e-05,156,53,15,18,0.3078399788299916,100000000.0
108,0.028829797733943528,0.9080654529702943,0.00017421267452285855,33,72,31,34,0.13693710194799252,1.7955778972625733
74,0.007063175106858177,0.9372932917384231,1.0414904724959572e-05,52,60,17,14,0.12051870521426647,100000000.0
120,0.032281544106539065,0.8739722596378485,0.00016126182512196975,53,68,29,36,0.21282224130289257,1.7697822880744933
103,0.04114211259598582,0.8429567589675624,1.989861969458456e-05,38,110,30,27,0.06370073508410568,1.7764110002517701
45,0.024117483589285532,0.8911016535391307,0.0001513262890181317,46,100,44,38,0.04888459870785944,1.8080258468985557
118,0.06673678672491597,0.9118216614464851,4.1004054180752775e-05,53,122,25,35,-0.06645370365763037,100000000.0
80,0.015977223854799574,0.8755048821259968,8.06773944461831e-05,47,64,30,27,0.21820367610466226,1.7674678201675416
81,0.02327315769316799,0.887648121127084,4.235966591977663e-05,46,120,31,27,-0.05013864996241234,100000000.0
93,0.025008616981361087,0.8859460231203465,7.73134414387407e-05,50,66,27,30,0.19933195749902427,1.776297169661522
105,0.011468222562535539,0.8672112245679143,0.0007104672299224453,57,67,25,49,0.08421828485682378,1.77234299492836
78,0.02457602621720818,0.8725449211882441,0.0005435683398381154,47,71,39,46,0.2561783427253144,1.9811684896707535
98,0.020250792442242094,0.8867438702088788,5.390469124972872e-05,51,79,24,28,0.06661947211546257,1.7816129295349121
219,0.018609471593409338,0.8719517245692592,7.12531861018932e-05,56,55,16,27,0.21466800890910093,1.8814518233776092
66,0.022603854556902673,0.8863141712966629,0.0001253536137924929,48,86,34,34,0.09033045125816981,1.7450797572135925
82,0.014748390900991492,0.8501543069883997,5.752727943944819e-05,85,80,24,30,0.11625847218234059,1.7100982177972794
71,0.010548632494663979,0.8211987339974524,3.305756647663879e-05,136,85,21,28,0.10591915729951462,100000000.0
86,0.01956792587610938,0.8633448757008197,0.00018862714569715884,61,73,31,37,0.1976069909186212,1.713742583322525
