batch_size,lr,momentum,weight_decay,ch1,ch2,ch3,ch4,drop_rate,loss
121,0.4204530677526443,0.8688078493009814,3.856714997834235e-05,88,83,25,59,0.17841871903022874,3.11350608727932
71,0.02969387282913891,0.8577598126697273,0.005915287418757577,17,37,23,42,0.4327004825081217,2.929632249903679
79,0.08532940886428633,0.9146086487710136,0.0001039972062864009,43,19,84,45,0.9871553095117129,100000000.0
40,0.015856170760287485,0.891827505405925,0.024285680318403766,68,35,35,104,0.8675090339235517,4.023457687377929
39,0.14507418853328716,0.9720684339934648,2.883257296571506e-05,114,64,17,36,0.7853050361410429,100000000.0
173,0.06594837809258203,0.9246720688949234,0.001715096065704629,30,118,58,79,0.26367562044067866,2.7977577315568922
101,0.006406198885071701,0.9967266956330025,0.0003075140459107426,28,55,44,100,0.04451564047779703,2.3456761090651153
240,0.04309898620800826,0.8123266887533448,0.015930377157080355,79,103,114,18,0.5612881900045091,3.121322463989258
150,0.011344494914528455,0.8272778309297583,0.001072127989786957,21,20,75,21,0.6547442411499346,2.3560576379299163
51,0.20256192953467106,0.9499789958230955,1.0581297834196556e-05,49,27,50,29,0.39695943018359037,100000000.0
179,0.009142620474338743,0.8424822340329359,0.061964701240871604,40,90,38,78,0.6642210749692048,100000000.0
69,0.09336541714708703,0.9231048053755556,9.256361218202064e-05,46,36,46,37,0.463774841379994,2.505533437550068
265,0.011574550147000984,0.8095119895030313,0.029469183145847885,14,33,142,63,0.204424314620408,100000000.0
63,0.07710253244209174,0.9314293228708563,0.0001630251371629141,67,54,28,41,0.6400848557608841,2.7764237437963484
124,0.019240265848507625,0.8707097023032252,0.009028485688375118,41,142,22,49,-0.0745527262504464,100000000.0
88,0.058799931463649334,0.9036339121540664,0.00031744609066520883,42,31,60,46,0.7217283005711731,2.5018035345077516
293,0.13854651424575726,0.8961144916123454,1.4746558998052876e-05,23,75,61,17,0.012697830814964117,100000000.0
65,0.02726136745054404,0.8928992519575301,0.003812285160818601,52,42,40,66,0.6538062331464048,2.86525146317482
36,0.046038646594485345,0.9935203223103003,1.636085021934513e-05,18,20,14,137,0.33947823987665016,100000000.0
150,0.04381581840639064,0.8576250971425836,0.002851812778516666,55,69,68,29,0.5058357024725444,2.4098120558261873
76,0.0028551610545488894,0.934554105727464,0.01758434763321895,15,24,84,35,0.7951070405047784,100000000.0
