batch_size,lr,momentum,weight_decay,width_coef1,width_coef2,width_coef3,n_blocks1,n_blocks2,n_blocks3,drop_rates1,drop_rates2,drop_rates3,lr_decay
5.271662348116344,-1.61924045904115,0.9738163651405503,-4.548740133752671,2.616481325871676,3.0565941528327407,2.6838373341300157,4,4,4,0.29595994048903673,0.4459570870564276,0.16976623586015968,-0.21847104582672583
7.170903733795534,-3.456205789081916,0.9370228236535213,-1.8387449242761185,2.3048885702508084,3.8553703082098245,2.3519738444531177,4,4,4,0.47603914594587565,0.38490975001506805,0.05272610775516543,-1.900545181041542
6.751507130172757,-3.684690188961261,0.8299741527899273,-3.3021315543153182,3.321518717537085,2.266894697571188,3.965458749759578,4,4,4,0.21900106536622577,0.009015526232652726,0.09329981942190206,-0.7399288209607231
8.433496024092506,-2.252312871432176,0.8495276421957915,-3.6568721317665265,3.835955922629932,3.658950755144142,2.0505847974733573,4,4,4,0.452425275850073,0.13459118749735707,0.028645213102031167,-0.05927761718640556
7.782059715380125,-1.019461313803474,0.9842020298445034,-1.3211879632042525,2.7598111696432537,2.410790703827298,3.35842290275556,4,4,4,0.11913534714009393,0.2584307072249413,0.41929278572722356,-0.9477089924294015
5.887426913256246,-2.6792315129008903,0.880564213363919,-2.066615794500264,3.412230767470536,2.680632526511695,3.6342384797202305,4,4,4,0.1729385270914361,0.21469191738341423,0.4777102536582971,-1.4342746604450514
5.455663681210084,-3.0713737644087744,0.9552345498739223,-2.9863027670754483,3.5683870740891335,2.6153462739732896,2.6167826684203814,4,4,4,0.08131037033711366,0.109318684250582,0.23931081538289012,-1.807567834653168
8.869514262799155,-2.571546861399841,0.926926183877435,-4.801558395778313,2.3611153127960613,2.0059347366934626,3.6968766563342825,4,4,4,0.022938289567415712,0.05818741190399862,0.33790172340283947,-0.5852702424806966
6.639973706683433,-0.28579463978173525,0.8922772382387252,-4.992629961049848,3.13828839995222,3.4863643376069815,2.835767833075752,4,4,4,0.2903524432133809,0.34826471987724067,0.28926663781636214,-1.0532269202837843
8.185844811220578,-0.6283049180453149,0.9098023795979643,-4.232047386401008,2.121341372116146,2.952267916521559,2.3110715319437167,4,4,4,0.12775821577029664,0.32778735763088335,0.3057519370425517,-1.1871087598536918
6.052950004406371,-1.8815225540280731,0.865599831974265,-2.620666913867423,3.6785518961246026,3.2536347162886914,3.2791519092257833,4,4,4,0.38117040828232285,0.19252561514182212,0.3770063332686972,-1.5006648217179979
