shuhei:~.$ python nelder.py -model CNN -num 1 -round 0
Will collect a position from the storage.


shuhei:~.$ python env.py -model CNN -num 1 -round 0 -cuda 0
Collecting Environment Variables and Putting in Shell Scripts.

shuhei:~.$ ./run.sh
shuhei:~.$ CUDA_VISIBLE_DEVICES=0 python train.py -model CNN -num 1 -round 0 -batch_size 181 -lr 0.009887830961758722 -momentum 0.9489246180956921 -weight_decay 5.125504093038708e-05 -ch1 38 -ch2 34 -ch3 93 -ch4 53 -drop_rate 0.21202102227320124
Start Training


Files already downloaded and verified
  lr                      epoch                   TrainAcc                TrainLoss               TestAcc                 TestLoss                Time                  
  0.00989                 1                       0.13158                 3.74890                 0.23060                 3.17265                 2019-04-19 01:02:23.242239  
  0.00989                 2                       0.23776                 3.08554                 0.29340                 2.82246                 2019-04-19 01:02:27.764903  
  0.00989                 3                       0.28932                 2.82507                 0.34650                 2.57939                 2019-04-19 01:02:32.144588  
  0.00989                 4                       0.32234                 2.65739                 0.35750                 2.53454                 2019-04-19 01:02:35.679455  
  0.00989                 5                       0.35112                 2.53238                 0.38530                 2.37427                 2019-04-19 01:02:40.263587  
  0.00989                 6                       0.36620                 2.44189                 0.40300                 2.29911                 2019-04-19 01:02:44.705149  
  0.00989                 7                       0.38538                 2.35898                 0.40640                 2.28240                 2019-04-19 01:02:49.237260  
  0.00989                 8                       0.39798                 2.29632                 0.43340                 2.15458                 2019-04-19 01:02:53.641833  
  0.00989                 9                       0.41126                 2.22782                 0.45430                 2.06260                 2019-04-19 01:02:58.045587  
  0.00989                 10                      0.42112                 2.18229                 0.45330                 2.07971                 2019-04-19 01:03:02.572852  
  0.00989                 11                      0.42990                 2.14505                 0.46560                 2.03535                 2019-04-19 01:03:06.988269  
  0.00989                 12                      0.44134                 2.10000                 0.47140                 2.02540                 2019-04-19 01:03:11.428672  
  0.00989                 13                      0.44492                 2.07322                 0.47690                 1.98127                 2019-04-19 01:03:15.912946  
  0.00989                 14                      0.45606                 2.03981                 0.48110                 1.95728                 2019-04-19 01:03:20.376739  
  0.00989                 15                      0.46042                 2.01329                 0.48600                 1.95318                 2019-04-19 01:03:24.809450  
  0.00989                 16                      0.46404                 1.98815                 0.49560                 1.89867                 2019-04-19 01:03:29.337569  
  0.00989                 17                      0.47374                 1.96142                 0.48590                 1.93184                 2019-04-19 01:03:33.745576  
  0.00989                 18                      0.47710                 1.94724                 0.50110                 1.89766                 2019-04-19 01:03:38.228644  
  0.00989                 19                      0.48048                 1.92195                 0.49690                 1.91465                 2019-04-19 01:03:42.767055  
  0.00989                 20                      0.48636                 1.89773                 0.51220                 1.83586                 2019-04-19 01:03:47.255600  
  0.00989                 21                      0.48960                 1.88033                 0.51600                 1.80345                 2019-04-19 01:03:51.771836  
  0.00989                 22                      0.48928                 1.86594                 0.51280                 1.83350                 2019-04-19 01:03:56.262345  
  0.00989                 23                      0.49486                 1.85396                 0.51000                 1.84421                 2019-04-19 01:04:00.778839  
  0.00989                 24                      0.49748                 1.83830                 0.51340                 1.83039                 2019-04-19 01:04:05.187740  
  0.00989                 25                      0.50042                 1.82947                 0.51860                 1.80641                 2019-04-19 01:04:09.545333  
  0.00989                 26                      0.50388                 1.81350                 0.52560                 1.76603                 2019-04-19 01:04:14.040368  
  0.00989                 27                      0.50972                 1.79658                 0.52070                 1.81925                 2019-04-19 01:04:18.537609  
  0.00989                 28                      0.51214                 1.78855                 0.52220                 1.77881                 2019-04-19 01:04:23.078907  
  0.00989                 29                      0.51478                 1.77848                 0.51460                 1.81760                 2019-04-19 01:04:27.537890  
  0.00989                 30                      0.51702                 1.76547                 0.53330                 1.78236                 2019-04-19 01:04:31.928911  
  0.00989                 31                      0.51718                 1.75381                 0.52680                 1.78631                 2019-04-19 01:04:36.460440  
  0.00989                 32                      0.52200                 1.74426                 0.52430                 1.80061                 2019-04-19 01:04:41.118933  
  0.00989                 33                      0.52398                 1.73747                 0.53990                 1.74779                 2019-04-19 01:04:45.587647  
  0.00989                 34                      0.52540                 1.73168                 0.53740                 1.74331                 2019-04-19 01:04:50.140064  
  0.00989                 35                      0.52550                 1.72188                 0.53430                 1.72969                 2019-04-19 01:04:54.537463  
  0.00989                 36                      0.53278                 1.70668                 0.54230                 1.71387                 2019-04-19 01:04:58.977054  
  0.00989                 37                      0.53056                 1.70644                 0.53850                 1.75785                 2019-04-19 01:05:03.434995  
  0.00989                 38                      0.53552                 1.68832                 0.54830                 1.70832                 2019-04-19 01:05:07.976919  
  0.00989                 39                      0.53490                 1.68436                 0.53950                 1.72491                 2019-04-19 01:05:12.465205  
  0.00989                 40                      0.53730                 1.67503                 0.54830                 1.68544                 2019-04-19 01:05:16.943978  
  0.00989                 41                      0.53980                 1.66943                 0.54360                 1.71913                 2019-04-19 01:05:21.469646  
  0.00989                 42                      0.53828                 1.67463                 0.54530                 1.71986                 2019-04-19 01:05:25.903715  
  0.00989                 43                      0.54122                 1.65429                 0.54590                 1.70721                 2019-04-19 01:05:30.371673  
  0.00989                 44                      0.54098                 1.65053                 0.54710                 1.68934                 2019-04-19 01:05:34.852552  
  0.00989                 45                      0.54108                 1.65964                 0.55120                 1.68918                 2019-04-19 01:05:39.309102  
  0.00989                 46                      0.54442                 1.63387                 0.54920                 1.70550                 2019-04-19 01:05:43.837192  
  0.00989                 47                      0.55000                 1.63791                 0.54660                 1.71287                 2019-04-19 01:05:48.328543  
  0.00989                 48                      0.54504                 1.63570                 0.55220                 1.67264                 2019-04-19 01:05:52.686345  
  0.00989                 49                      0.55162                 1.62043                 0.54310                 1.73220                 2019-04-19 01:05:57.185591  
  0.00989                 50                      0.54902                 1.62401                 0.55280                 1.67487                 2019-04-19 01:06:01.635556  
  0.00989                 51                      0.55178                 1.61184                 0.55640                 1.68734                 2019-04-19 01:06:06.136312  
  0.00989                 52                      0.55120                 1.61472                 0.55620                 1.67134                 2019-04-19 01:06:10.668648  
  0.00989                 53                      0.55174                 1.60885                 0.55190                 1.70748                 2019-04-19 01:06:15.174968  
  0.00989                 54                      0.55436                 1.59711                 0.54940                 1.68728                 2019-04-19 01:06:19.682259  
  0.00989                 55                      0.55480                 1.59938                 0.55580                 1.67366                 2019-04-19 01:06:24.227493  
  0.00989                 56                      0.55864                 1.59203                 0.55530                 1.70155                 2019-04-19 01:06:28.692728  
  0.00989                 57                      0.55928                 1.58766                 0.54570                 1.73070                 2019-04-19 01:06:33.204488  
  0.00989                 58                      0.55672                 1.59134                 0.54820                 1.72063                 2019-04-19 01:06:37.667442  
  0.00989                 59                      0.56254                 1.58050                 0.56100                 1.66435                 2019-04-19 01:06:42.112537  
  0.00989                 60                      0.56056                 1.57977                 0.56130                 1.65779                 2019-04-19 01:06:46.593703  
  0.00989                 61                      0.56074                 1.56925                 0.55880                 1.63831                 2019-04-19 01:06:51.001966  
  0.00989                 62                      0.56176                 1.57213                 0.55850                 1.66816                 2019-04-19 01:06:55.509310  
  0.00989                 63                      0.56652                 1.55395                 0.55470                 1.69863                 2019-04-19 01:07:00.048379  
  0.00989                 64                      0.56260                 1.56009                 0.55180                 1.68745                 2019-04-19 01:07:04.662144  
  0.00989                 65                      0.56640                 1.55783                 0.55300                 1.68109                 2019-04-19 01:07:09.214942  
  0.00989                 66                      0.56272                 1.55097                 0.55260                 1.68335                 2019-04-19 01:07:13.692655  
  0.00989                 67                      0.56920                 1.54246                 0.55890                 1.65551                 2019-04-19 01:07:18.142846  
  0.00989                 68                      0.56710                 1.54843                 0.55860                 1.68045                 2019-04-19 01:07:22.656915  
  0.00989                 69                      0.56446                 1.54668                 0.55250                 1.71381                 2019-04-19 01:07:27.178300  
  0.00989                 70                      0.56872                 1.54419                 0.55580                 1.69862                 2019-04-19 01:07:31.718583  
  0.00989                 71                      0.56744                 1.53991                 0.56190                 1.66770                 2019-04-19 01:07:36.302574  
  0.00989                 72                      0.56910                 1.53110                 0.56780                 1.63340                 2019-04-19 01:07:40.746057  
  0.00989                 73                      0.57134                 1.53351                 0.56150                 1.64820                 2019-04-19 01:07:45.311077  
  0.00989                 74                      0.56918                 1.53477                 0.56240                 1.66037                 2019-04-19 01:07:49.705453  
  0.00989                 75                      0.57096                 1.52854                 0.56070                 1.69054                 2019-04-19 01:07:54.194007  
  0.00989                 76                      0.57266                 1.52389                 0.56010                 1.65349                 2019-04-19 01:07:58.698423  
  0.00989                 77                      0.57310                 1.52184                 0.56320                 1.67895                 2019-04-19 01:08:03.282003  
  0.00989                 78                      0.57458                 1.51663                 0.55460                 1.71260                 2019-04-19 01:08:07.825257  
  0.00989                 79                      0.57632                 1.51486                 0.55820                 1.69300                 2019-04-19 01:08:12.330591  
  0.00989                 80                      0.57678                 1.50352                 0.56640                 1.64337                 2019-04-19 01:08:16.793210  
  0.00989                 81                      0.57660                 1.50575                 0.56410                 1.65593                 2019-04-19 01:08:21.167176  
  0.00989                 82                      0.57678                 1.50699                 0.56550                 1.63615                 2019-04-19 01:08:25.633071  
  0.00989                 83                      0.57746                 1.49785                 0.56240                 1.66182                 2019-04-19 01:08:30.146518  
  0.00989                 84                      0.57772                 1.50677                 0.56750                 1.62275                 2019-04-19 01:08:34.578393  
  0.00989                 85                      0.57962                 1.49374                 0.56660                 1.64456                 2019-04-19 01:08:39.063344  
  0.00989                 86                      0.57946                 1.49281                 0.55790                 1.68913                 2019-04-19 01:08:43.473551  
  0.00989                 87                      0.57878                 1.49079                 0.57350                 1.62448                 2019-04-19 01:08:47.943204  
  0.00989                 88                      0.58158                 1.48437                 0.56240                 1.65978                 2019-04-19 01:08:52.481513  
  0.00989                 89                      0.57870                 1.49795                 0.56330                 1.63114                 2019-04-19 01:08:56.915639  
  0.00989                 90                      0.58022                 1.49138                 0.55910                 1.69798                 2019-04-19 01:09:01.375782  
  0.00989                 91                      0.57966                 1.49026                 0.54940                 1.71198                 2019-04-19 01:09:05.820137  
  0.00989                 92                      0.58082                 1.48566                 0.56500                 1.66884                 2019-04-19 01:09:10.297867  
  0.00989                 93                      0.58400                 1.47837                 0.56670                 1.63194                 2019-04-19 01:09:14.758681  
  0.00989                 94                      0.58550                 1.47387                 0.56660                 1.65118                 2019-04-19 01:09:19.314949  
  0.00989                 95                      0.58250                 1.47546                 0.56440                 1.67073                 2019-04-19 01:09:23.822947  
  0.00989                 96                      0.58138                 1.47604                 0.56590                 1.62956                 2019-04-19 01:09:28.290920  
  0.00989                 97                      0.58344                 1.47775                 0.56500                 1.67012                 2019-04-19 01:09:32.782993  
  0.00989                 98                      0.58600                 1.46430                 0.57040                 1.63600                 2019-04-19 01:09:37.141035  
  0.00989                 99                      0.58806                 1.46027                 0.56640                 1.63451                 2019-04-19 01:09:41.503583  
  0.00989                 100                     0.58458                 1.46939                 0.56330                 1.68914                 2019-04-19 01:09:45.999107  
  0.00989                 101                     0.58940                 1.46509                 0.56520                 1.65992                 2019-04-19 01:09:50.412450  
  0.00989                 102                     0.58556                 1.46091                 0.56730                 1.66696                 2019-04-19 01:09:54.932814  
  0.00989                 103                     0.58694                 1.46193                 0.56770                 1.65076                 2019-04-19 01:09:59.406230  
  0.00989                 104                     0.58772                 1.45921                 0.55760                 1.71179                 2019-04-19 01:10:03.920627  
  0.00989                 105                     0.58796                 1.46810                 0.56970                 1.64245                 2019-04-19 01:10:08.410788  
  0.00989                 106                     0.58626                 1.45572                 0.56060                 1.67666                 2019-04-19 01:10:12.845124  
  0.00989                 107                     0.58850                 1.45562                 0.57190                 1.64555                 2019-04-19 01:10:17.310579  
  0.00989                 108                     0.59050                 1.45033                 0.56880                 1.63891                 2019-04-19 01:10:21.762056  
  0.00989                 109                     0.59004                 1.44902                 0.56790                 1.63498                 2019-04-19 01:10:26.244103  
  0.00989                 110                     0.59138                 1.44684                 0.56970                 1.65526                 2019-04-19 01:10:30.768211  
  0.00989                 111                     0.59158                 1.44869                 0.56850                 1.63930                 2019-04-19 01:10:35.340840  
  0.00989                 112                     0.59314                 1.44078                 0.55960                 1.67756                 2019-04-19 01:10:39.846772  
  0.00989                 113                     0.59102                 1.44268                 0.56210                 1.67306                 2019-04-19 01:10:44.392592  
  0.00989                 114                     0.59084                 1.44065                 0.56490                 1.66641                 2019-04-19 01:10:48.812564  
  0.00989                 115                     0.59446                 1.43456                 0.57240                 1.65719                 2019-04-19 01:10:53.212469  
  0.00989                 116                     0.59076                 1.43918                 0.56840                 1.66176                 2019-04-19 01:10:57.601619  
  0.00989                 117                     0.59286                 1.43225                 0.56900                 1.65902                 2019-04-19 01:11:02.013794  
  0.00989                 118                     0.59360                 1.43056                 0.56670                 1.65537                 2019-04-19 01:11:06.473873  
  0.00989                 119                     0.59408                 1.43510                 0.57080                 1.63749                 2019-04-19 01:11:10.918733  
  0.00989                 120                     0.59334                 1.43112                 0.57060                 1.63899                 2019-04-19 01:11:15.505740  
  0.00989                 121                     0.59470                 1.42878                 0.56460                 1.67337                 2019-04-19 01:11:20.037312  
  0.00989                 122                     0.59626                 1.42676                 0.57300                 1.64393                 2019-04-19 01:11:24.563890  
  0.00989                 123                     0.59514                 1.42330                 0.56820                 1.66217                 2019-04-19 01:11:29.029637  
  0.00989                 124                     0.59376                 1.43301                 0.57280                 1.61847                 2019-04-19 01:11:33.462742  
  0.00989                 125                     0.59716                 1.42639                 0.56300                 1.64128                 2019-04-19 01:11:38.001878  
  0.00989                 126                     0.59612                 1.42196                 0.57340                 1.63907                 2019-04-19 01:11:42.483494  
  0.00989                 127                     0.59556                 1.42616                 0.57420                 1.65464                 2019-04-19 01:11:47.023475  
  0.00989                 128                     0.59474                 1.42230                 0.56720                 1.65154                 2019-04-19 01:11:51.462650  
  0.00989                 129                     0.59902                 1.41551                 0.57170                 1.62832                 2019-04-19 01:11:56.019527  
  0.00989                 130                     0.59796                 1.42108                 0.57360                 1.66054                 2019-04-19 01:12:00.588549  
  0.00989                 131                     0.59746                 1.41310                 0.57380                 1.63119                 2019-04-19 01:12:05.102735  
  0.00989                 132                     0.59542                 1.41624                 0.57420                 1.62550                 2019-04-19 01:12:09.637552  
  0.00989                 133                     0.59926                 1.40877                 0.57240                 1.61448                 2019-04-19 01:12:14.095181  
  0.00989                 134                     0.59770                 1.41123                 0.57130                 1.66271                 2019-04-19 01:12:18.538315  
  0.00989                 135                     0.60022                 1.41098                 0.56730                 1.65106                 2019-04-19 01:12:22.933976  
  0.00989                 136                     0.60046                 1.40085                 0.56770                 1.63618                 2019-04-19 01:12:27.392735  
  0.00989                 137                     0.59822                 1.40581                 0.56890                 1.67045                 2019-04-19 01:12:31.828567  
  0.00989                 138                     0.59572                 1.40976                 0.57080                 1.65512                 2019-04-19 01:12:36.277586  
  0.00989                 139                     0.60098                 1.40406                 0.57950                 1.63298                 2019-04-19 01:12:40.780004  
  0.00989                 140                     0.59878                 1.40915                 0.56740                 1.63699                 2019-04-19 01:12:45.236241  
  0.00989                 141                     0.60426                 1.39797                 0.57090                 1.64996                 2019-04-19 01:12:49.762944  
  0.00989                 142                     0.60022                 1.40213                 0.57950                 1.60202                 2019-04-19 01:12:54.188412  
  0.00989                 143                     0.59982                 1.39831                 0.57620                 1.61252                 2019-04-19 01:12:58.640484  
  0.00989                 144                     0.60010                 1.40403                 0.57250                 1.65887                 2019-04-19 01:13:03.103590  
  0.00989                 145                     0.60216                 1.39869                 0.57590                 1.63217                 2019-04-19 01:13:07.541631  
  0.00989                 146                     0.60360                 1.39441                 0.56960                 1.67492                 2019-04-19 01:13:11.978878  
  0.00989                 147                     0.60376                 1.39353                 0.57270                 1.65625                 2019-04-19 01:13:16.429384  
  0.00989                 148                     0.60556                 1.39236                 0.57060                 1.64758                 2019-04-19 01:13:20.926901  
  0.00989                 149                     0.60302                 1.39334                 0.57420                 1.65912                 2019-04-19 01:13:25.477971  
  0.00989                 150                     0.60474                 1.39602                 0.56610                 1.68181                 2019-04-19 01:13:29.878225  
  0.00989                 151                     0.60250                 1.38905                 0.56880                 1.70405                 2019-04-19 01:13:34.369013  
  0.00989                 152                     0.60328                 1.39015                 0.57320                 1.63549                 2019-04-19 01:13:38.900911  
  0.00989                 153                     0.60332                 1.38865                 0.57420                 1.61420                 2019-04-19 01:13:43.345217  
  0.00989                 154                     0.60462                 1.38847                 0.57240                 1.64988                 2019-04-19 01:13:47.752231  
  0.00989                 155                     0.60304                 1.39626                 0.57740                 1.62546                 2019-04-19 01:13:52.299095  
  0.00989                 156                     0.60598                 1.38362                 0.57630                 1.64283                 2019-04-19 01:13:56.727543  
  0.00989                 157                     0.60596                 1.39146                 0.57350                 1.65481                 2019-04-19 01:14:01.243297  
  0.00989                 158                     0.60534                 1.38599                 0.57190                 1.63992                 2019-04-19 01:14:05.665520  
  0.00989                 159                     0.60322                 1.38154                 0.56770                 1.64882                 2019-04-19 01:14:10.163352  
  0.00989                 160                     0.60784                 1.38238                 0.57350                 1.61632                 2019-04-19 01:14:14.696326  
Output: 1.602


